,Codi_expedient,Tipus_accident,Descripcio_causa_mediata
124,2018S000118    ,Atropellament,Not_Specified
125,2018S000119    ,Col.lisiÃ³ lateral,Not_Specified
126,2018S000120    ,Abast multiple,Not_Specified
127,2018S000121    ,Caiguda (dues rodes),Not_Specified
128,2018S000121    ,Atropellament,Not_Specified
129,2018S000122    ,Col.lisiÃ³ lateral,Not_Specified
130,2018S000123    ,Atropellament,Not_Specified
131,2018S000124    ,Abast,Not_Specified
132,2018S000125    ,Col.lisiÃ³ lateral,Not_Specified
133,2018S000126    ,Col.lisiÃ³ fronto-lateral,Not_Specified
134,2018S000126    ,Col.lisiÃ³ lateral,Not_Specified
135,2018S000127    ,Abast multiple,Not_Specified
136,2018S000128    ,Abast,No hi ha causa mediata
137,2018S000129    ,Atropellament,Not_Specified
138,2018S000130    ,Col.lisiÃ³ fronto-lateral,Not_Specified
139,2018S000131    ,Altres,Not_Specified
140,2018S000132    ,Caiguda (dues rodes),Not_Specified
141,2018S000133    ,Abast,Not_Specified
142,2018S000134    ,Xoc contra element estÃ tic,Not_Specified
143,2018S000135    ,Abast,Not_Specified
144,2018S000136    ,Col.lisiÃ³ fronto-lateral,Not_Specified
145,2018S000137    ,Abast,Not_Specified
146,2018S000138    ,Abast,Not_Specified
147,2018S000139    ,Abast,No hi ha causa mediata
148,2018S000140    ,Caiguda interior vehicle,Not_Specified
149,2018S000141    ,Xoc contra element estÃ tic,Not_Specified
150,2018S000142    ,Abast,Not_Specified
151,2018S000143    ,Abast,Not_Specified
152,2018S000144    ,Caiguda (dues rodes),Not_Specified
153,2018S000145    ,Caiguda (dues rodes),Not_Specified
154,2018S000146    ,Col.lisiÃ³ lateral,Not_Specified
155,2018S000147    ,Caiguda interior vehicle,Not_Specified
156,2018S000148    ,Col.lisiÃ³ fronto-lateral,Not_Specified
157,2018S000149    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
158,2018S000150    ,Caiguda (dues rodes),No hi ha causa mediata
159,2018S000150    ,Col.lisiÃ³ lateral,No hi ha causa mediata
160,2018S000151    ,Col.lisiÃ³ lateral,Not_Specified
161,2018S000152    ,Abast,Not_Specified
162,2018S000153    ,Caiguda (dues rodes),Not_Specified
163,2018S000154    ,Atropellament,Not_Specified
164,2018S000155    ,Abast,Not_Specified
165,2018S000156    ,Col.lisiÃ³ lateral,Not_Specified
166,2018S000157    ,Col.lisiÃ³ fronto-lateral,Not_Specified
167,2018S000158    ,Atropellament,Not_Specified
168,2018S000159    ,Caiguda (dues rodes),Not_Specified
169,2018S000160    ,Abast,Not_Specified
170,2018S000161    ,Col.lisiÃ³ lateral,Not_Specified
171,2018S000162    ,Col.lisiÃ³ lateral,Not_Specified
172,2018S000162    ,Xoc contra element estÃ tic,Not_Specified
173,2018S000163    ,Col.lisiÃ³ fronto-lateral,Not_Specified
174,2018S000164    ,Col.lisiÃ³ lateral,Not_Specified
175,2018S000165    ,Col.lisiÃ³ lateral,Not_Specified
176,2018S000166    ,Col.lisiÃ³ lateral,Not_Specified
177,2018S000167    ,Col.lisiÃ³ lateral,Not_Specified
178,2018S000168    ,Xoc contra element estÃ tic,Not_Specified
179,2018S000169    ,Abast,Not_Specified
180,2018S000170    ,Col.lisiÃ³ lateral,No hi ha causa mediata
181,2018S000171    ,Atropellament,Not_Specified
182,2018S000172    ,Col.lisiÃ³ lateral,Not_Specified
183,2018S000173    ,Col.lisiÃ³ lateral,Not_Specified
184,2018S000174    ,Col.lisiÃ³ lateral,No hi ha causa mediata
185,2018S000175    ,Abast,Not_Specified
186,2018S000176    ,Col.lisiÃ³ fronto-lateral,Not_Specified
187,2018S000177    ,Atropellament,Not_Specified
188,2018S000178    ,Altres,Not_Specified
189,2018S000179    ,Col.lisiÃ³ lateral,Not_Specified
190,2018S000180    ,Xoc contra element estÃ tic,No hi ha causa mediata
191,2018S000181    ,Col.lisiÃ³ lateral,Not_Specified
192,2018S000182    ,Abast,Not_Specified
193,2018S000183    ,Caiguda (dues rodes),Not_Specified
194,2018S000184    ,Col.lisiÃ³ lateral,Not_Specified
195,2018S000185    ,Col.lisiÃ³ fronto-lateral,Not_Specified
196,2018S000186    ,Abast,Not_Specified
197,2018S000187    ,Col.lisiÃ³ fronto-lateral,Not_Specified
198,2018S000188    ,Col.lisiÃ³ lateral,Not_Specified
199,2018S000189    ,Abast,Not_Specified
200,2018S000190    ,Col.lisiÃ³ lateral,Not_Specified
201,2018S000191    ,Col.lisiÃ³ lateral,Not_Specified
202,2018S000192    ,Caiguda (dues rodes),No hi ha causa mediata
203,2018S000192    ,Abast,No hi ha causa mediata
204,2018S000193    ,Col.lisiÃ³ fronto-lateral,Not_Specified
205,2018S000194    ,Col.lisiÃ³ fronto-lateral,Not_Specified
206,2018S000195    ,Col.lisiÃ³ lateral,Not_Specified
207,2018S000196    ,Abast,Not_Specified
208,2018S000197    ,Col.lisiÃ³ lateral,No hi ha causa mediata
209,2018S000198    ,Col.lisiÃ³ fronto-lateral,Not_Specified
210,2018S000199    ,Col.lisiÃ³ fronto-lateral,Not_Specified
211,2018S000200    ,Atropellament,Not_Specified
212,2018S000201    ,Col.lisiÃ³ fronto-lateral,Not_Specified
213,2018S000202    ,Atropellament,Not_Specified
214,2018S000203    ,Caiguda (dues rodes),Not_Specified
215,2018S000204    ,Xoc contra element estÃ tic,Not_Specified
216,2018S000205    ,Abast,Not_Specified
217,2018S000206    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
218,2018S000207    ,Col.lisiÃ³ lateral,Not_Specified
219,2018S000208    ,Caiguda (dues rodes),Not_Specified
220,2018S000209    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
221,2018S000210    ,Col.lisiÃ³ lateral,Not_Specified
222,2018S000211    ,Caiguda (dues rodes),Not_Specified
223,2018S000212    ,Abast,Not_Specified
224,2018S000213    ,Col.lisiÃ³ fronto-lateral,Not_Specified
225,2018S000214    ,Col.lisiÃ³ lateral,Not_Specified
226,2018S000215    ,Abast,Not_Specified
227,2018S000216    ,Caiguda interior vehicle,Not_Specified
228,2018S000217    ,Abast,Not_Specified
229,2018S000218    ,Col.lisiÃ³ fronto-lateral,Not_Specified
230,2018S000219    ,Col.lisiÃ³ frontal,Not_Specified
231,2018S000220    ,Atropellament,Not_Specified
232,2018S000221    ,Abast,Not_Specified
233,2018S000222    ,Abast,Not_Specified
234,2018S000223    ,Caiguda interior vehicle,Not_Specified
235,2018S000224    ,Caiguda interior vehicle,Not_Specified
236,2018S000225    ,Abast,Not_Specified
237,2018S000226    ,Col.lisiÃ³ lateral,Not_Specified
238,2018S000227    ,Col.lisiÃ³ lateral,Not_Specified
239,2018S000228    ,Atropellament,Not_Specified
240,2018S000229    ,Col.lisiÃ³ fronto-lateral,Not_Specified
241,2018S000230    ,Atropellament,Not_Specified
242,2018S000231    ,Abast,Not_Specified
243,2018S000232    ,Abast,Not_Specified
244,2018S000233    ,Col.lisiÃ³ fronto-lateral,Not_Specified
245,2018S000233    ,Caiguda (dues rodes),Not_Specified
246,2018S000234    ,Atropellament,Not_Specified
247,2018S000235    ,Col.lisiÃ³ fronto-lateral,Not_Specified
248,2018S000236    ,Abast,Not_Specified
249,2018S000237    ,Abast,Not_Specified
250,2018S000238    ,Col.lisiÃ³ lateral,Not_Specified
251,2018S000239    ,Atropellament,No hi ha causa mediata
252,2018S000240    ,Abast,Not_Specified
253,2018S000241    ,Col.lisiÃ³ fronto-lateral,Not_Specified
254,2018S000242    ,Caiguda (dues rodes),Not_Specified
255,2018S000242    ,Col.lisiÃ³ lateral,Not_Specified
256,2018S000243    ,Abast,No hi ha causa mediata
257,2018S000244    ,Caiguda (dues rodes),No hi ha causa mediata
258,2018S000245    ,Col.lisiÃ³ lateral,Not_Specified
259,2018S000246    ,Col.lisiÃ³ fronto-lateral,Not_Specified
260,2018S000247    ,Abast,Not_Specified
261,2018S000249    ,Col.lisiÃ³ fronto-lateral,Not_Specified
262,2018S000250    ,Xoc contra element estÃ tic,Not_Specified
263,2018S000251    ,Col.lisiÃ³ fronto-lateral,Not_Specified
264,2018S000252    ,Atropellament,No hi ha causa mediata
265,2018S000253    ,Col.lisiÃ³ lateral,Not_Specified
266,2018S000254    ,Abast,Not_Specified
267,2018S000255    ,Atropellament,Not_Specified
268,2018S000256    ,Abast,Not_Specified
269,2018S000257    ,Abast,Not_Specified
270,2018S000258    ,Col.lisiÃ³ lateral,Not_Specified
271,2018S000259    ,Abast multiple,Not_Specified
272,2018S000260    ,Col.lisiÃ³ fronto-lateral,Not_Specified
273,2018S000261    ,Atropellament,No hi ha causa mediata
274,2018S000262    ,Abast,Not_Specified
275,2018S000263    ,Abast,Not_Specified
276,2018S000264    ,Caiguda (dues rodes),Not_Specified
277,2018S000265    ,Caiguda (dues rodes),Not_Specified
278,2018S000265    ,Col.lisiÃ³ fronto-lateral,Not_Specified
279,2018S000266    ,Abast,Not_Specified
280,2018S000267    ,Xoc contra element estÃ tic,Not_Specified
281,2018S000268    ,Col.lisiÃ³ lateral,Not_Specified
282,2018S000269    ,Abast,No hi ha causa mediata
283,2018S000270    ,Caiguda (dues rodes),No hi ha causa mediata
284,2018S000271    ,Caiguda interior vehicle,Not_Specified
285,2018S000272    ,Col.lisiÃ³ lateral,Not_Specified
286,2018S000273    ,Col.lisiÃ³ fronto-lateral,Not_Specified
287,2018S000274    ,Col.lisiÃ³ lateral,Not_Specified
288,2018S000275    ,Col.lisiÃ³ fronto-lateral,Not_Specified
289,2018S000276    ,Abast,Not_Specified
290,2018S000277    ,Abast,Not_Specified
291,2018S000278    ,Abast,Not_Specified
292,2018S000279    ,Col.lisiÃ³ fronto-lateral,Not_Specified
293,2018S000280    ,Altres,Not_Specified
294,2018S000280    ,Caiguda (dues rodes),Not_Specified
295,2018S000281    ,Col.lisiÃ³ lateral,No hi ha causa mediata
296,2018S000282    ,Col.lisiÃ³ lateral,No hi ha causa mediata
297,2018S000283    ,Abast,Not_Specified
298,2018S000284    ,Abast,Not_Specified
299,2018S000285    ,Col.lisiÃ³ lateral,Not_Specified
300,2018S000286    ,Abast,No hi ha causa mediata
301,2018S000287    ,Abast multiple,No hi ha causa mediata
302,2018S000288    ,Abast,Not_Specified
303,2018S000289    ,Col.lisiÃ³ lateral,Not_Specified
304,2018S000290    ,Xoc amb animal a la calÃ§ada,Not_Specified
305,2018S000291    ,Atropellament,No hi ha causa mediata
306,2018S000292    ,Caiguda (dues rodes),Not_Specified
307,2018S000293    ,Col.lisiÃ³ lateral,Not_Specified
308,2018S000294    ,Abast,No hi ha causa mediata
309,2018S000294    ,Col.lisiÃ³ lateral,No hi ha causa mediata
310,2018S000295    ,Col.lisiÃ³ lateral,Not_Specified
311,2018S000296    ,Caiguda interior vehicle,Not_Specified
312,2018S000297    ,Col.lisiÃ³ fronto-lateral,Not_Specified
313,2018S000298    ,Abast,Not_Specified
314,2018S000299    ,Col.lisiÃ³ lateral,Not_Specified
315,2018S000300    ,Col.lisiÃ³ fronto-lateral,Not_Specified
316,2018S000301    ,Atropellament,Not_Specified
317,2018S000302    ,Caiguda (dues rodes),Not_Specified
318,2018S000303    ,Atropellament,Not_Specified
319,2018S000304    ,Abast,Not_Specified
320,2018S000305    ,Col.lisiÃ³ lateral,Not_Specified
321,2018S000306    ,Xoc contra element estÃ tic,Not_Specified
322,2018S000307    ,Abast,Not_Specified
323,2018S000308    ,Abast,Not_Specified
324,2018S000309    ,Col.lisiÃ³ fronto-lateral,Not_Specified
325,2018S000310    ,Abast,Not_Specified
326,2018S000311    ,Col.lisiÃ³ fronto-lateral,Not_Specified
327,2018S000312    ,Col.lisiÃ³ lateral,Not_Specified
328,2018S000313    ,Xoc contra element estÃ tic,Not_Specified
329,2018S000314    ,Abast,No hi ha causa mediata
330,2018S000315    ,Caiguda (dues rodes),Not_Specified
331,2018S000315    ,Xoc contra element estÃ tic,Not_Specified
332,2018S000316    ,Col.lisiÃ³ lateral,Not_Specified
333,2018S000317    ,Col.lisiÃ³ fronto-lateral,Not_Specified
334,2018S000318    ,Xoc contra element estÃ tic,Not_Specified
335,2018S000318    ,Caiguda (dues rodes),Not_Specified
336,2018S000319    ,Col.lisiÃ³ fronto-lateral,Not_Specified
337,2018S000320    ,Abast,Not_Specified
338,2018S000321    ,Col.lisiÃ³ fronto-lateral,Not_Specified
339,2018S000322    ,Abast,Not_Specified
340,2018S000323    ,Col.lisiÃ³ lateral,Not_Specified
341,2018S000324    ,Col.lisiÃ³ lateral,Not_Specified
342,2018S000325    ,Xoc contra element estÃ tic,Not_Specified
343,2018S000326    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
344,2018S000327    ,Xoc contra element estÃ tic,Not_Specified
345,2018S000328    ,Abast multiple,Not_Specified
346,2018S000329    ,Abast,Not_Specified
347,2018S000330    ,Atropellament,Not_Specified
348,2018S000331    ,Atropellament,No hi ha causa mediata
349,2018S000332    ,Atropellament,Not_Specified
350,2018S000333    ,Caiguda interior vehicle,Not_Specified
351,2018S000334    ,Col.lisiÃ³ fronto-lateral,Not_Specified
352,2018S000335    ,Caiguda interior vehicle,Not_Specified
353,2018S000336    ,Col.lisiÃ³ fronto-lateral,Not_Specified
354,2018S000337    ,Caiguda (dues rodes),Not_Specified
355,2018S000338    ,Col.lisiÃ³ fronto-lateral,Not_Specified
356,2018S000339    ,Col.lisiÃ³ frontal,No hi ha causa mediata
357,2018S000340    ,Caiguda interior vehicle,Not_Specified
358,2018S000341    ,Caiguda (dues rodes),Not_Specified
359,2018S000342    ,Caiguda (dues rodes),Not_Specified
360,2018S000343    ,Xoc contra element estÃ tic,Not_Specified
361,2018S000344    ,Abast,AlcoholÃ¨mia
362,2018S000345    ,Abast,Not_Specified
363,2018S000346    ,Abast,Not_Specified
364,2018S000347    ,Xoc contra element estÃ tic,Not_Specified
365,2018S000349    ,Abast multiple,Not_Specified
366,2018S000350    ,Col.lisiÃ³ fronto-lateral,Not_Specified
367,2018S000351    ,Abast,Not_Specified
368,2018S000352    ,Altres,Not_Specified
369,2018S000353    ,Col.lisiÃ³ fronto-lateral,Not_Specified
370,2018S000354    ,Col.lisiÃ³ lateral,Not_Specified
371,2018S000355    ,Abast,Not_Specified
372,2018S000356    ,Col.lisiÃ³ lateral,Not_Specified
373,2018S000357    ,Abast,Not_Specified
374,2018S000358    ,Col.lisiÃ³ lateral,Not_Specified
375,2018S000359    ,Caiguda interior vehicle,Not_Specified
376,2018S000360    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
377,2018S000360    ,Xoc contra element estÃ tic,No hi ha causa mediata
378,2018S000361    ,Caiguda (dues rodes),Not_Specified
379,2018S000362    ,Abast,Not_Specified
380,2018S000363    ,Col.lisiÃ³ lateral,Not_Specified
381,2018S000364    ,Abast,Not_Specified
382,2018S000364    ,Col.lisiÃ³ fronto-lateral,Not_Specified
383,2018S000365    ,Col.lisiÃ³ lateral,Not_Specified
384,2018S000366    ,Abast multiple,Not_Specified
385,2018S000367    ,Atropellament,Not_Specified
386,2018S000368    ,Col.lisiÃ³ lateral,Not_Specified
387,2018S000369    ,Col.lisiÃ³ fronto-lateral,Not_Specified
388,2018S000370    ,Col.lisiÃ³ lateral,Not_Specified
389,2018S000371    ,Col.lisiÃ³ fronto-lateral,Not_Specified
390,2018S000372    ,Abast,Not_Specified
391,2018S000373    ,Atropellament,Not_Specified
392,2018S000374    ,Col.lisiÃ³ lateral,Not_Specified
393,2018S000375    ,Col.lisiÃ³ fronto-lateral,Not_Specified
394,2018S000376    ,Caiguda (dues rodes),Not_Specified
395,2018S000377    ,Col.lisiÃ³ fronto-lateral,Not_Specified
396,2018S000378    ,Col.lisiÃ³ fronto-lateral,Not_Specified
397,2018S000379    ,Col.lisiÃ³ lateral,Not_Specified
398,2018S000380    ,Atropellament,Not_Specified
399,2018S000381    ,Atropellament,Not_Specified
400,2018S000382    ,Abast,Not_Specified
401,2018S000383    ,Caiguda interior vehicle,Not_Specified
402,2018S000384    ,Col.lisiÃ³ lateral,Not_Specified
403,2018S000385    ,Atropellament,Not_Specified
404,2018S000386    ,Atropellament,Not_Specified
405,2018S000387    ,Col.lisiÃ³ lateral,Not_Specified
406,2018S000388    ,Col.lisiÃ³ lateral,Not_Specified
407,2018S000389    ,Col.lisiÃ³ lateral,Not_Specified
408,2018S000390    ,Caiguda interior vehicle,Not_Specified
409,2018S000391    ,Caiguda (dues rodes),Not_Specified
410,2018S000392    ,Col.lisiÃ³ lateral,Not_Specified
411,2018S000393    ,Xoc contra element estÃ tic,Not_Specified
412,2018S000393    ,Col.lisiÃ³ lateral,Not_Specified
413,2018S000394    ,Abast,Not_Specified
414,2018S000395    ,Atropellament,No hi ha causa mediata
415,2018S000396    ,Col.lisiÃ³ lateral,Not_Specified
416,2018S000397    ,Caiguda (dues rodes),Not_Specified
417,2018S000398    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
418,2018S000399    ,Abast,Not_Specified
419,2018S000400    ,Abast,Not_Specified
420,2018S000401    ,Atropellament,Not_Specified
421,2018S000402    ,Abast,Not_Specified
422,2018S000403    ,Col.lisiÃ³ fronto-lateral,Not_Specified
423,2018S000404    ,Abast,Not_Specified
424,2018S000405    ,Atropellament,Not_Specified
425,2018S000406    ,Col.lisiÃ³ lateral,Not_Specified
426,2018S000407    ,Col.lisiÃ³ lateral,Not_Specified
427,2018S000408    ,Abast,Not_Specified
428,2018S000409    ,Col.lisiÃ³ lateral,Not_Specified
429,2018S000410    ,Col.lisiÃ³ lateral,Not_Specified
430,2018S000411    ,Atropellament,Not_Specified
431,2018S000412    ,Atropellament,Not_Specified
432,2018S000413    ,Col.lisiÃ³ lateral,No hi ha causa mediata
433,2018S000414    ,Caiguda (dues rodes),Not_Specified
434,2018S000414    ,Abast,Not_Specified
435,2018S000415    ,Xoc amb animal a la calÃ§ada,No hi ha causa mediata
436,2018S000416    ,Caiguda (dues rodes),No hi ha causa mediata
437,2018S000417    ,Atropellament,Not_Specified
438,2018S000418    ,Abast multiple,Not_Specified
439,2018S000419    ,Caiguda (dues rodes),Not_Specified
440,2018S000420    ,Caiguda (dues rodes),Not_Specified
441,2018S000421    ,Abast,Not_Specified
442,2018S000422    ,Col.lisiÃ³ fronto-lateral,Not_Specified
443,2018S000423    ,Xoc contra element estÃ tic,Not_Specified
444,2018S000424    ,Abast,Not_Specified
445,2018S000425    ,Col.lisiÃ³ fronto-lateral,Not_Specified
446,2018S000426    ,Abast,Not_Specified
447,2018S000427    ,Caiguda (dues rodes),Not_Specified
448,2018S000427    ,Abast,Not_Specified
449,2018S000428    ,Col.lisiÃ³ lateral,Not_Specified
450,2018S000429    ,Atropellament,Not_Specified
451,2018S000430    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
452,2018S000430    ,Abast,No hi ha causa mediata
453,2018S000431    ,Col.lisiÃ³ lateral,Not_Specified
454,2018S000432    ,Xoc contra element estÃ tic,No hi ha causa mediata
455,2018S000433    ,Col.lisiÃ³ fronto-lateral,Not_Specified
456,2018S000434    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
457,2018S000435    ,Atropellament,Not_Specified
458,2018S000436    ,Col.lisiÃ³ lateral,Not_Specified
459,2018S000437    ,Xoc contra element estÃ tic,Not_Specified
460,2018S000437    ,Col.lisiÃ³ fronto-lateral,Not_Specified
461,2018S000437    ,Atropellament,Not_Specified
462,2018S000438    ,Xoc contra element estÃ tic,Not_Specified
463,2018S000439    ,Abast,Not_Specified
464,2018S000440    ,Altres,Not_Specified
465,2018S000441    ,Abast,Not_Specified
466,2018S000442    ,Col.lisiÃ³ lateral,Not_Specified
467,2018S000443    ,Caiguda (dues rodes),Not_Specified
468,2018S000443    ,Atropellament,Not_Specified
469,2018S000444    ,Col.lisiÃ³ lateral,Not_Specified
470,2018S000445    ,Atropellament,Not_Specified
471,2018S000446    ,Col.lisiÃ³ fronto-lateral,Not_Specified
472,2018S000446    ,Abast,Not_Specified
473,2018S000447    ,Abast multiple,Not_Specified
474,2018S000448    ,Abast,Not_Specified
475,2018S000448    ,Col.lisiÃ³ lateral,Not_Specified
476,2018S000449    ,Col.lisiÃ³ fronto-lateral,Not_Specified
477,2018S000450    ,Col.lisiÃ³ lateral,Not_Specified
478,2018S000451    ,Col.lisiÃ³ lateral,Not_Specified
479,2018S000452    ,Xoc contra element estÃ tic,Not_Specified
480,2018S000453    ,Col.lisiÃ³ fronto-lateral,Not_Specified
481,2018S000454    ,Abast,No hi ha causa mediata
482,2018S000455    ,Abast multiple,No hi ha causa mediata
483,2018S000456    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
