Numero_expedient;Descripcio_causa_mediata
2018S007870    ;No hi ha causa mediata
2018S000839    ;No hi ha causa mediata
2018S006748    ;No hi ha causa mediata
2018S002818    ;No hi ha causa mediata
2018S007532    ;No hi ha causa mediata
2018S005956    ;No hi ha causa mediata
2018S003208    ;No hi ha causa mediata
2018S000694    ;No hi ha causa mediata
2018S002548    ;No hi ha causa mediata
2018S001862    ;No hi ha causa mediata
2018S000611    ;No hi ha causa mediata
2018S001974    ;No hi ha causa mediata
2018S008178    ;No hi ha causa mediata
2018S000804    ;No hi ha causa mediata
2018S000803    ;No hi ha causa mediata
2018S008363    ;No hi ha causa mediata
2018S002365    ;No hi ha causa mediata
2018S002830    ;No hi ha causa mediata
2018S004162    ;No hi ha causa mediata
2018S005088    ;No hi ha causa mediata
2018S000456    ;No hi ha causa mediata
2018S003960    ;No hi ha causa mediata
2018S009892    ;No hi ha causa mediata
2018S003205    ;No hi ha causa mediata
2018S005041    ;No hi ha causa mediata
2018S000726    ;AlcoholÃ¨mia
2018S009949    ;No hi ha causa mediata
2018S000963    ;No hi ha causa mediata
2018S008874    ;No hi ha causa mediata
2018S003615    ;Drogues o medicaments
2018S001767    ;No hi ha causa mediata
2018S005605    ;No hi ha causa mediata
2018S007705    ;No hi ha causa mediata
2018S001674    ;No hi ha causa mediata
2018S009590    ;No hi ha causa mediata
2018S005697    ;No hi ha causa mediata
2018S001461    ;No hi ha causa mediata
2018S000026    ;No hi ha causa mediata
2018S004879    ;No hi ha causa mediata
2018S004888    ;No hi ha causa mediata
2018S000331    ;No hi ha causa mediata
2018S001211    ;No hi ha causa mediata
2018S008929    ;No hi ha causa mediata
2018S002377    ;No hi ha causa mediata
2018S002712    ;No hi ha causa mediata
2018S001429    ;No hi ha causa mediata
2018S004252    ;No hi ha causa mediata
2018S009796    ;No hi ha causa mediata
2018S001244    ;No hi ha causa mediata
2018S007108    ;No hi ha causa mediata
2018S001708    ;No hi ha causa mediata
2018S008385    ;AlcoholÃ¨mia
2018S002357    ;No hi ha causa mediata
2018S000937    ;No hi ha causa mediata
2018S005115    ;No hi ha causa mediata
2018S006859    ;No hi ha causa mediata
2018S004560    ;No hi ha causa mediata
2018S007688    ;No hi ha causa mediata
2018S007126    ;No hi ha causa mediata
2018S004515    ;No hi ha causa mediata
2018S007154    ;No hi ha causa mediata
2018S005901    ;No hi ha causa mediata
2018S000095    ;Estat de la senyalitzaciÃ³
2018S009843    ;No hi ha causa mediata
2018S001404    ;No hi ha causa mediata
2018S000939    ;No hi ha causa mediata
2018S009714    ;No hi ha causa mediata
2018S005518    ;No hi ha causa mediata
2018S009429    ;No hi ha causa mediata
2018S000314    ;No hi ha causa mediata
2018S002890    ;No hi ha causa mediata
2018S001506    ;No hi ha causa mediata
2018S003853    ;No hi ha causa mediata
2018S007122    ;No hi ha causa mediata
2018S003622    ;No hi ha causa mediata
2018S008155    ;No hi ha causa mediata
2018S009142    ;No hi ha causa mediata
2018S004805    ;No hi ha causa mediata
2018S006036    ;No hi ha causa mediata
2018S009416    ;No hi ha causa mediata
2018S008655    ;No hi ha causa mediata
2018S007202    ;No hi ha causa mediata
2018S005712    ;No hi ha causa mediata
2018S000395    ;No hi ha causa mediata
2018S001575    ;No hi ha causa mediata
2018S002039    ;ExcÃ©s de velocitat o inadequada
2018S001951    ;No hi ha causa mediata
2018S009488    ;No hi ha causa mediata
2018S002017    ;No hi ha causa mediata
2018S004171    ;No hi ha causa mediata
2018S001786    ;No hi ha causa mediata
2018S003306    ;No hi ha causa mediata
2018S007905    ;No hi ha causa mediata
2018S002216    ;No hi ha causa mediata
2018S007687    ;No hi ha causa mediata
2018S006622    ;No hi ha causa mediata
2018S006091    ;No hi ha causa mediata
2018S000174    ;No hi ha causa mediata
2018S008157    ;No hi ha causa mediata
2018S008963    ;No hi ha causa mediata
2018S009448    ;No hi ha causa mediata
2018S003642    ;No hi ha causa mediata
2018S009259    ;No hi ha causa mediata
2018S003172    ;No hi ha causa mediata
2018S006674    ;No hi ha causa mediata
2018S002996    ;No hi ha causa mediata
2018S000413    ;No hi ha causa mediata
2018S004355    ;No hi ha causa mediata
2018S009645    ;No hi ha causa mediata
2018S004721    ;No hi ha causa mediata
2018S004772    ;CalÃ§ada en mal estat
2018S004961    ;No hi ha causa mediata
2018S008644    ;No hi ha causa mediata
2018S008643    ;No hi ha causa mediata
2018S009298    ;No hi ha causa mediata
2018S002966    ;No hi ha causa mediata
2018S002836    ;AlcoholÃ¨mia
2018S003305    ;No hi ha causa mediata
2018S002540    ;ExcÃ©s de velocitat o inadequada
2018S005833    ;No hi ha causa mediata
2018S005662    ;No hi ha causa mediata
2018S007894    ;No hi ha causa mediata
2018S000286    ;No hi ha causa mediata
2018S004104    ;No hi ha causa mediata
2018S008076    ;No hi ha causa mediata
2018S007228    ;No hi ha causa mediata
2018S001468    ;No hi ha causa mediata
2018S008282    ;No hi ha causa mediata
2018S007548    ;No hi ha causa mediata
2018S003308    ;No hi ha causa mediata
2018S009443    ;No hi ha causa mediata
2018S004303    ;No hi ha causa mediata
2018S008519    ;No hi ha causa mediata
2018S000793    ;No hi ha causa mediata
2018S008494    ;No hi ha causa mediata
2018S004704    ;No hi ha causa mediata
2018S004949    ;No hi ha causa mediata
2018S004593    ;No hi ha causa mediata
2018S007214    ;AlcoholÃ¨mia
2018S003428    ;No hi ha causa mediata
2018S007557    ;No hi ha causa mediata
2018S008646    ;No hi ha causa mediata
2018S000243    ;No hi ha causa mediata
2018S004137    ;No hi ha causa mediata
2018S001189    ;No hi ha causa mediata
2018S002581    ;No hi ha causa mediata
2018S008999    ;No hi ha causa mediata
2018S002576    ;No hi ha causa mediata
2018S009613    ;No hi ha causa mediata
2018S004262    ;No hi ha causa mediata
2018S004876    ;No hi ha causa mediata
2018S004715    ;No hi ha causa mediata
2018S003184    ;No hi ha causa mediata
2018S008799    ;No hi ha causa mediata
2018S006467    ;No hi ha causa mediata
2018S003440    ;No hi ha causa mediata
2018S003664    ;No hi ha causa mediata
2018S003030    ;No hi ha causa mediata
2018S003469    ;No hi ha causa mediata
2018S006275    ;No hi ha causa mediata
2018S001028    ;No hi ha causa mediata
2018S004324    ;No hi ha causa mediata
2018S008887    ;No hi ha causa mediata
2018S000070    ;No hi ha causa mediata
2018S000149    ;No hi ha causa mediata
2018S005118    ;No hi ha causa mediata
2018S001656    ;No hi ha causa mediata
2018S003228    ;No hi ha causa mediata
2018S009354    ;No hi ha causa mediata
2018S001791    ;No hi ha causa mediata
2018S007752    ;No hi ha causa mediata
2018S009260    ;No hi ha causa mediata
2018S005206    ;No hi ha causa mediata
2018S001033    ;No hi ha causa mediata
2018S008705    ;No hi ha causa mediata
2018S001193    ;No hi ha causa mediata
2018S000344    ;AlcoholÃ¨mia
2018S003878    ;No hi ha causa mediata
2018S003921    ;AlcoholÃ¨mia
2018S003938    ;No hi ha causa mediata
2018S008748    ;No hi ha causa mediata
2018S007161    ;No hi ha causa mediata
2018S007761    ;No hi ha causa mediata
2018S002264    ;No hi ha causa mediata
2018S005807    ;No hi ha causa mediata
2018S000239    ;No hi ha causa mediata
2018S002225    ;No hi ha causa mediata
2018S003858    ;No hi ha causa mediata
2018S005097    ;No hi ha causa mediata
2018S008405    ;No hi ha causa mediata
2018S006087    ;No hi ha causa mediata
2018S003275    ;No hi ha causa mediata
2018S009322    ;No hi ha causa mediata
2018S009763    ;No hi ha causa mediata
2018S002428    ;No hi ha causa mediata
2018S008543    ;No hi ha causa mediata
2018S009706    ;No hi ha causa mediata
2018S003621    ;No hi ha causa mediata
2018S001657    ;No hi ha causa mediata
2018S002870    ;No hi ha causa mediata
2018S009294    ;No hi ha causa mediata
2018S009528    ;No hi ha causa mediata
2018S003963    ;No hi ha causa mediata
2018S002831    ;No hi ha causa mediata
2018S003442    ;No hi ha causa mediata
2018S007418    ;No hi ha causa mediata
2018S002534    ;No hi ha causa mediata
2018S001354    ;No hi ha causa mediata
2018S001573    ;No hi ha causa mediata
2018S008038    ;No hi ha causa mediata
2018S007455    ;No hi ha causa mediata
2018S006759    ;AlcoholÃ¨mia
2018S003596    ;No hi ha causa mediata
2018S008750    ;ExcÃ©s de velocitat o inadequada
2018S005835    ;No hi ha causa mediata
2018S007706    ;No hi ha causa mediata
2018S005313    ;No hi ha causa mediata
2018S002066    ;No hi ha causa mediata
2018S002832    ;No hi ha causa mediata
2018S009770    ;No hi ha causa mediata
2018S003060    ;No hi ha causa mediata
2018S005188    ;No hi ha causa mediata
2018S000294    ;No hi ha causa mediata
2018S007607    ;No hi ha causa mediata
2018S000796    ;No hi ha causa mediata
2018S000269    ;No hi ha causa mediata
2018S001691    ;No hi ha causa mediata
2018S004271    ;No hi ha causa mediata
2018S006953    ;No hi ha causa mediata
2018S008827    ;No hi ha causa mediata
2018S003051    ;No hi ha causa mediata
2018S001611    ;No hi ha causa mediata
2018S004488    ;No hi ha causa mediata
2018S004580    ;No hi ha causa mediata
2018S006702    ;No hi ha causa mediata
2018S004972    ;No hi ha causa mediata
2018S000780    ;No hi ha causa mediata
2018S009646    ;No hi ha causa mediata
2018S006730    ;No hi ha causa mediata
2018S005199    ;No hi ha causa mediata
2018S005175    ;No hi ha causa mediata
2018S002525    ;No hi ha causa mediata
2018S002935    ;No hi ha causa mediata
2018S001473    ;No hi ha causa mediata
2018S008055    ;No hi ha causa mediata
2018S006943    ;No hi ha causa mediata
2018S005582    ;No hi ha causa mediata
2018S003847    ;No hi ha causa mediata
2018S007651    ;No hi ha causa mediata
2018S006873    ;No hi ha causa mediata
2018S009681    ;No hi ha causa mediata
2018S007617    ;CalÃ§ada en mal estat
2018S008492    ;CalÃ§ada en mal estat
2018S008531    ;CalÃ§ada en mal estat
2018S008657    ;No hi ha causa mediata
2018S007394    ;Objectes o animals a la calÃ§ada
2018S006555    ;No hi ha causa mediata
2018S004993    ;No hi ha causa mediata
2018S004006    ;No hi ha causa mediata
2018S003746    ;No hi ha causa mediata
2018S003521    ;No hi ha causa mediata
2018S005745    ;No hi ha causa mediata
2018S004372    ;No hi ha causa mediata
2018S002108    ;No hi ha causa mediata
2018S005123    ;No hi ha causa mediata
2018S000609    ;No hi ha causa mediata
2018S002041    ;No hi ha causa mediata
2018S003171    ;No hi ha causa mediata
2018S009673    ;No hi ha causa mediata
2018S009027    ;No hi ha causa mediata
2018S003758    ;No hi ha causa mediata
2018S009073    ;No hi ha causa mediata
2018S008852    ;No hi ha causa mediata
2018S007505    ;No hi ha causa mediata
2018S009472    ;No hi ha causa mediata
2018S004456    ;No hi ha causa mediata
2018S000326    ;No hi ha causa mediata
2018S004525    ;No hi ha causa mediata
2018S002099    ;AlcoholÃ¨mia
2018S002582    ;No hi ha causa mediata
2018S001702    ;No hi ha causa mediata
2018S009665    ;No hi ha causa mediata
2018S001062    ;No hi ha causa mediata
2018S002006    ;No hi ha causa mediata
2018S002093    ;No hi ha causa mediata
2018S001524    ;No hi ha causa mediata
2018S009125    ;No hi ha causa mediata
2018S001347    ;No hi ha causa mediata
2018S000762    ;No hi ha causa mediata
2018S007704    ;No hi ha causa mediata
2018S007347    ;No hi ha causa mediata
2018S009883    ;No hi ha causa mediata
2018S009284    ;No hi ha causa mediata
2018S000800    ;No hi ha causa mediata
2018S009576    ;No hi ha causa mediata
2018S008816    ;No hi ha causa mediata
2018S003225    ;No hi ha causa mediata
2018S007523    ;No hi ha causa mediata
2018S009480    ;No hi ha causa mediata
2018S009657    ;No hi ha causa mediata
2018S005961    ;No hi ha causa mediata
2018S001171    ;No hi ha causa mediata
2018S001863    ;AlcoholÃ¨mia
2018S005149    ;No hi ha causa mediata
2018S007733    ;No hi ha causa mediata
2018S002149    ;No hi ha causa mediata
2018S009623    ;No hi ha causa mediata
2018S009332    ;No hi ha causa mediata
2018S009074    ;ExcÃ©s de velocitat o inadequada
2018S003614    ;No hi ha causa mediata
2018S006414    ;AlcoholÃ¨mia
2018S007662    ;No hi ha causa mediata
2018S004329    ;No hi ha causa mediata
2018S007953    ;No hi ha causa mediata
2018S001508    ;No hi ha causa mediata
2018S003105    ;No hi ha causa mediata
2018S008250    ;No hi ha causa mediata
2018S006070    ;No hi ha causa mediata
2018S008242    ;No hi ha causa mediata
2018S005767    ;No hi ha causa mediata
2018S002119    ;No hi ha causa mediata
2018S007457    ;No hi ha causa mediata
2018S004049    ;AlcoholÃ¨mia
2018S003653    ;No hi ha causa mediata
2018S003113    ;No hi ha causa mediata
2018S008905    ;No hi ha causa mediata
2018S008700    ;No hi ha causa mediata
2018S006423    ;No hi ha causa mediata
2018S008833    ;No hi ha causa mediata
2018S001205    ;No hi ha causa mediata
2018S003145    ;No hi ha causa mediata
2018S003590    ;No hi ha causa mediata
2018S006627    ;No hi ha causa mediata
2018S000282    ;No hi ha causa mediata
2018S006277    ;No hi ha causa mediata
2018S000209    ;No hi ha causa mediata
2018S003541    ;No hi ha causa mediata
2018S000281    ;No hi ha causa mediata
2018S004133    ;No hi ha causa mediata
2018S002821    ;No hi ha causa mediata
2018S008969    ;No hi ha causa mediata
2018S000434    ;No hi ha causa mediata
2018S003274    ;No hi ha causa mediata
2018S005778    ;No hi ha causa mediata
2018S000430    ;No hi ha causa mediata
2018S000917    ;No hi ha causa mediata
2018S000092    ;No hi ha causa mediata
2018S002798    ;No hi ha causa mediata
2018S009493    ;No hi ha causa mediata
2018S002926    ;No hi ha causa mediata
2018S000516    ;No hi ha causa mediata
2018S001983    ;No hi ha causa mediata
2018S007670    ;No hi ha causa mediata
2018S001826    ;No hi ha causa mediata
2018S004606    ;No hi ha causa mediata
2018S008410    ;AlcoholÃ¨mia
2018S005179    ;No hi ha causa mediata
2018S002733    ;No hi ha causa mediata
2018S008962    ;No hi ha causa mediata
2018S006460    ;No hi ha causa mediata
2018S005209    ;No hi ha causa mediata
2018S008693    ;No hi ha causa mediata
2018S001300    ;No hi ha causa mediata
2018S009808    ;AlcoholÃ¨mia
2018S007804    ;AlcoholÃ¨mia
2018S001432    ;No hi ha causa mediata
2018S003368    ;No hi ha causa mediata
2018S009724    ;No hi ha causa mediata
2018S006743    ;No hi ha causa mediata
2018S002753    ;No hi ha causa mediata
2018S008938    ;No hi ha causa mediata
2018S007352    ;No hi ha causa mediata
2018S009280    ;No hi ha causa mediata
2018S004331    ;No hi ha causa mediata
2018S002833    ;No hi ha causa mediata
2018S000454    ;No hi ha causa mediata
2018S000455    ;No hi ha causa mediata
2018S001824    ;No hi ha causa mediata
2018S000855    ;No hi ha causa mediata
2018S001074    ;No hi ha causa mediata
2018S007806    ;No hi ha causa mediata
2018S007550    ;No hi ha causa mediata
2018S003033    ;No hi ha causa mediata
2018S009962    ;No hi ha causa mediata
2018S001650    ;No hi ha causa mediata
2018S006967    ;No hi ha causa mediata
2018S007964    ;No hi ha causa mediata
2018S004893    ;No hi ha causa mediata
2018S008684    ;No hi ha causa mediata
2018S008836    ;No hi ha causa mediata
2018S009190    ;No hi ha causa mediata
2018S005511    ;No hi ha causa mediata
2018S001962    ;No hi ha causa mediata
2018S005504    ;No hi ha causa mediata
2018S002505    ;ExcÃ©s de velocitat o inadequada
2018S008266    ;No hi ha causa mediata
2018S004240    ;No hi ha causa mediata
2018S004374    ;No hi ha causa mediata
2018S004898    ;No hi ha causa mediata
2018S005356    ;No hi ha causa mediata
2018S002010    ;No hi ha causa mediata
2018S002232    ;No hi ha causa mediata
2018S009849    ;No hi ha causa mediata
2018S008466    ;No hi ha causa mediata
2018S008904    ;No hi ha causa mediata
2018S004863    ;No hi ha causa mediata
2018S005082    ;No hi ha causa mediata
2018S009545    ;No hi ha causa mediata
2018S000784    ;No hi ha causa mediata
2018S002306    ;No hi ha causa mediata
2018S003844    ;No hi ha causa mediata
2018S006926    ;No hi ha causa mediata
2018S004584    ;No hi ha causa mediata
2018S000564    ;No hi ha causa mediata
2018S003558    ;No hi ha causa mediata
2018S007348    ;No hi ha causa mediata
2018S006433    ;No hi ha causa mediata
2018S001451    ;No hi ha causa mediata
2018S001441    ;No hi ha causa mediata
2018S007097    ;No hi ha causa mediata
2018S009080    ;No hi ha causa mediata
2018S002882    ;No hi ha causa mediata
2018S004452    ;No hi ha causa mediata
2018S004004    ;No hi ha causa mediata
2018S003686    ;No hi ha causa mediata
2018S007465    ;No hi ha causa mediata
2018S004570    ;No hi ha causa mediata
2018S007564    ;No hi ha causa mediata
2018S008498    ;No hi ha causa mediata
2018S009837    ;No hi ha causa mediata
2018S003910    ;No hi ha causa mediata
2018S001939    ;No hi ha causa mediata
2018S005436    ;No hi ha causa mediata
2018S003083    ;No hi ha causa mediata
2018S002195    ;No hi ha causa mediata
2018S004854    ;No hi ha causa mediata
2018S001329    ;No hi ha causa mediata
2018S003499    ;AlcoholÃ¨mia
2018S004860    ;No hi ha causa mediata
2018S008774    ;No hi ha causa mediata
2018S007751    ;No hi ha causa mediata
2018S009769    ;No hi ha causa mediata
2018S006615    ;No hi ha causa mediata
2018S000469    ;No hi ha causa mediata
2018S001753    ;No hi ha causa mediata
2018S003920    ;No hi ha causa mediata
2018S001243    ;No hi ha causa mediata
2018S007743    ;No hi ha causa mediata
2018S002475    ;No hi ha causa mediata
2018S009835    ;No hi ha causa mediata
2018S004866    ;No hi ha causa mediata
2018S003688    ;No hi ha causa mediata
2018S005014    ;No hi ha causa mediata
2018S005817    ;ExcÃ©s de velocitat o inadequada
2018S002227    ;No hi ha causa mediata
2018S008435    ;ExcÃ©s de velocitat o inadequada
2018S000777    ;No hi ha causa mediata
2018S006551    ;No hi ha causa mediata
2018S009798    ;No hi ha causa mediata
2018S009289    ;No hi ha causa mediata
2018S006133    ;No hi ha causa mediata
2018S008695    ;No hi ha causa mediata
2018S000850    ;No hi ha causa mediata
2018S005897    ;No hi ha causa mediata
2018S002081    ;No hi ha causa mediata
2018S000561    ;No hi ha causa mediata
2018S002270    ;AlcoholÃ¨mia
2018S007624    ;No hi ha causa mediata
2018S005371    ;No hi ha causa mediata
2018S004279    ;No hi ha causa mediata
2018S009268    ;No hi ha causa mediata
2018S007454    ;No hi ha causa mediata
2018S009468    ;No hi ha causa mediata
2018S003627    ;No hi ha causa mediata
2018S004862    ;No hi ha causa mediata
2018S006297    ;No hi ha causa mediata
2018S008754    ;No hi ha causa mediata
2018S008770    ;No hi ha causa mediata
2018S003226    ;No hi ha causa mediata
2018S000941    ;AlcoholÃ¨mia
2018S000641    ;No hi ha causa mediata
2018S007426    ;No hi ha causa mediata
2018S007906    ;No hi ha causa mediata
2018S005214    ;No hi ha causa mediata
2018S003503    ;No hi ha causa mediata
2018S003799    ;No hi ha causa mediata
2018S001774    ;No hi ha causa mediata
2018S004464    ;No hi ha causa mediata
2018S009776    ;No hi ha causa mediata
2018S002049    ;No hi ha causa mediata
2018S000853    ;No hi ha causa mediata
2018S009202    ;No hi ha causa mediata
2018S007442    ;No hi ha causa mediata
2018S009460    ;No hi ha causa mediata
2018S002697    ;No hi ha causa mediata
2018S007684    ;No hi ha causa mediata
2018S006616    ;No hi ha causa mediata
2018S009764    ;No hi ha causa mediata
2018S004463    ;No hi ha causa mediata
2018S000291    ;No hi ha causa mediata
2018S009968    ;No hi ha causa mediata
2018S006706    ;No hi ha causa mediata
2018S001558    ;No hi ha causa mediata
2018S000432    ;No hi ha causa mediata
2018S009364    ;No hi ha causa mediata
2018S009446    ;No hi ha causa mediata
2018S005382    ;No hi ha causa mediata
2018S001850    ;No hi ha causa mediata
2018S007849    ;No hi ha causa mediata
2018S008524    ;No hi ha causa mediata
2018S008577    ;No hi ha causa mediata
2018S007542    ;No hi ha causa mediata
2018S005653    ;No hi ha causa mediata
2018S002497    ;No hi ha causa mediata
2018S000021    ;No hi ha causa mediata
2018S004622    ;No hi ha causa mediata
2018S008253    ;CalÃ§ada en mal estat
2018S002170    ;AlcoholÃ¨mia
2018S002673    ;AlcoholÃ¨mia
2018S003705    ;No hi ha causa mediata
2018S002941    ;No hi ha causa mediata
2018S002800    ;No hi ha causa mediata
2018S008736    ;No hi ha causa mediata
2018S006931    ;No hi ha causa mediata
2018S000031    ;No hi ha causa mediata
2018S000066    ;AlcoholÃ¨mia
2018S003778    ;No hi ha causa mediata
2018S002660    ;No hi ha causa mediata
2018S000760    ;No hi ha causa mediata
2018S000505    ;No hi ha causa mediata
2018S006842    ;No hi ha causa mediata
2018S009588    ;No hi ha causa mediata
2018S009897    ;No hi ha causa mediata
2018S002304    ;No hi ha causa mediata
2018S003042    ;No hi ha causa mediata
2018S007860    ;No hi ha causa mediata
2018S009419    ;No hi ha causa mediata
2018S001480    ;No hi ha causa mediata
2018S002383    ;No hi ha causa mediata
2018S008690    ;No hi ha causa mediata
2018S008334    ;No hi ha causa mediata
2018S002968    ;No hi ha causa mediata
2018S005776    ;No hi ha causa mediata
2018S006003    ;No hi ha causa mediata
2018S008926    ;No hi ha causa mediata
2018S005694    ;No hi ha causa mediata
2018S002504    ;No hi ha causa mediata
2018S007029    ;No hi ha causa mediata
2018S007030    ;No hi ha causa mediata
2018S000040    ;No hi ha causa mediata
2018S004304    ;No hi ha causa mediata
2018S000270    ;No hi ha causa mediata
2018S000100    ;No hi ha causa mediata
2018S001396    ;No hi ha causa mediata
2018S007480    ;No hi ha causa mediata
2018S004960    ;No hi ha causa mediata
2018S006836    ;ExcÃ©s de velocitat o inadequada
2018S009921    ;No hi ha causa mediata
2018S004815    ;No hi ha causa mediata
2018S001149    ;No hi ha causa mediata
2018S002539    ;No hi ha causa mediata
2018S008231    ;No hi ha causa mediata
2018S009736    ;No hi ha causa mediata
2018S001427    ;No hi ha causa mediata
2018S000536    ;No hi ha causa mediata
2018S001255    ;No hi ha causa mediata
2018S004688    ;No hi ha causa mediata
2018S007966    ;No hi ha causa mediata
2018S006312    ;No hi ha causa mediata
2018S005342    ;No hi ha causa mediata
2018S002248    ;No hi ha causa mediata
2018S004081    ;No hi ha causa mediata
2018S004663    ;No hi ha causa mediata
2018S000244    ;No hi ha causa mediata
2018S002298    ;No hi ha causa mediata
2018S004987    ;No hi ha causa mediata
2018S005387    ;No hi ha causa mediata
2018S005489    ;No hi ha causa mediata
2018S001991    ;No hi ha causa mediata
2018S008984    ;No hi ha causa mediata
2018S008819    ;No hi ha causa mediata
2018S007504    ;CalÃ§ada en mal estat
2018S003719    ;No hi ha causa mediata
2018S005137    ;No hi ha causa mediata
2018S008603    ;No hi ha causa mediata
2018S002330    ;No hi ha causa mediata
2018S009880    ;No hi ha causa mediata
2018S005063    ;No hi ha causa mediata
2018S002718    ;No hi ha causa mediata
2018S000862    ;No hi ha causa mediata
2018S005348    ;No hi ha causa mediata
2018S004128    ;No hi ha causa mediata
2018S004341    ;AlcoholÃ¨mia
2018S001025    ;No hi ha causa mediata
2018S007663    ;No hi ha causa mediata
2018S006402    ;No hi ha causa mediata
2018S008330    ;AlcoholÃ¨mia
2018S002573    ;No hi ha causa mediata
2018S004708    ;No hi ha causa mediata
2018S008889    ;No hi ha causa mediata
2018S007830    ;No hi ha causa mediata
2018S006647    ;No hi ha causa mediata
2018S006225    ;No hi ha causa mediata
2018S000287    ;No hi ha causa mediata
2018S000252    ;No hi ha causa mediata
2018S006807    ;ExcÃ©s de velocitat o inadequada
2018S007299    ;No hi ha causa mediata
2018S002101    ;No hi ha causa mediata
2018S005640    ;No hi ha causa mediata
2018S000360    ;No hi ha causa mediata
2018S006774    ;No hi ha causa mediata
2018S004193    ;No hi ha causa mediata
2018S002441    ;No hi ha causa mediata
2018S001049    ;No hi ha causa mediata
2018S005031    ;No hi ha causa mediata
2018S003328    ;No hi ha causa mediata
2018S009707    ;No hi ha causa mediata
2018S005252    ;No hi ha causa mediata
2018S003234    ;No hi ha causa mediata
2018S000522    ;No hi ha causa mediata
2018S008164    ;No hi ha causa mediata
2018S004094    ;AlcoholÃ¨mia
2018S000192    ;No hi ha causa mediata
2018S005515    ;No hi ha causa mediata
2018S006341    ;No hi ha causa mediata
