"CODI_VIA","CODI_CARRER_INE","TIPUS_VIA","NOM_OFICIAL","NOM_CURT","NRE_MIN","NRE_MAX"
"000102","00001","C","Carrer dels Llebrencs","Llebrencs","",""
"000180","00002","C","Carrer A Zona Franca","A Zona Franca","",""
"000204","00003","C","Carrer de Guerau de Liost","Guerau de Liost","",""
"000306","00004","C","Carrer de l'Abat Odó","Abat Odó","",""
"000408","00005","C","Carrer de l'Abat Samsó","Abat Samsó","",""
"000500","00006","C","Carrer de l'Abat Safont","Abat Safont","",""
"000601","00007","C","Carrer de l'Abadessa Olzet","Abadessa Olzet","",""
"000703","00008","C","Carrer dels Abaixadors","Abaixadors","",""
"000805","00009","C","Carrer d'Abd el-Kader","Abd el-Kader","",""
"000907","00010","C","Carrer d'Abdó Terradas","Abdó Terradas","",""
"001003","00011","C","Carrer d'Abella","Abella","",""
"001105","00012","C","Carrer de Manuel Ballbé","Manuel Ballbé","",""
"001309","00014","C","Carrer de les Acàcies","Acàcies","",""
"001400","00015","Pl","Plaça de l'Acadèmia","Pl Acadèmia","",""
"001502","00016","C","Carrer de la Sèquia","Sèquia","",""
"001604","00017","C","Carrer de la Sèquia Comtal","Sèquia Comtal","",""
"001706","00018","C","Carrer de la Sèquia Madriguera","Sèquia Madriguera","",""
"001808","00019","C","Carrer de l'Acer","Acer","",""
"001900","00020","C","Carrer de l'Actor Morano","Actor Morano","",""
"002006","00021","C","Carrer de l'Actriu Tubau","Actriu Tubau","",""
"002050","00022","C","Carrer d'Adolf Florensa","Adolf Florensa","",""
"002200","00023","C","Carrer d'Adrall","Adrall","",""
"002210","00024","Av","Avinguda d'Adrià Gual","Av Adrià Gual","",""
"002403","00025","C","Carrer d'Adrià Margarit","Adrià Margarit","",""
"002505","00026","Pl","Plaça d'Adrià","Pl Adrià","",""
"002607","00027","C","Carrer de la Duana","Duana","",""
"002709","00028","C","Carrer dels Afores","Afores","",""
"002902","00030","C","Carrer de n'Aglà","Aglà","",""
"003009","00031","C","Carrer d'Agramunt","Agramunt","",""
"003100","00032","C","Carrer de l'Agregació","Agregació","",""
"003202","00033","C","Carrer d'Anna M. Martínez Sagi","Anna Martínez Sagi","",""
"003406","00034","C","Carrer de l'Agricultura","Agricultura","",""
"003508","00035","Ctra","Carretera de les Aigües","Ctra Aigües","",""
"003552","00036","Camí","Camí de les Aigües","Camí Aigües","",""
"003600","00037","C","Carrer dels Agudells","Agudells","",""
"003701","00038","C","Carrer de les Agudes","Agudes","",""
"003803","00039","C","Carrer de l'Àliga","Àliga","",""
"003905","00040","C","Carrer d'Aguilar","Aguilar","",""
"004001","00041","C","Carrer d'Agullana","Agullana","",""
"004103","00042","C","Carrer dels Agullers","Agullers","",""
"004125","00043","C","Carrer d'Agustí Duran i Sanpere","A Duran i Sanpere","",""
"004205","00044","C","Carrer d'Agustí i Milà","Agustí i Milà","",""
"004307","00045","C","Carrer d'Agustina Saragossa","Agustina Saragossa","",""
"004409","00046","C","Carrer d'Aiguablava","Aiguablava","",""
"004500","00047","C","Carrer d'Aiguafreda","Aiguafreda","",""
"004602","00048","C","Carrer d'Aigüesmortes","Aigüesmortes","",""
"004908","00049","C","Carrer d'Àlaba","Àlaba","",""
"005004","00050","C","Carrer de l'Alba","Alba","",""
"005106","00051","C","Carrer d'Albacete","Albacete","",""
"005208","00052","C","Carrer d'Albània","Albània","",""
"005401","00054","C","Carrer d'Albareda","Albareda","",""
"005503","00055","C","Carrer d'Ourense","Ourense","",""
"005707","00056","C","Carrer d'Albert Llanas","Albert Llanas","",""
"005809","00057","Ptge","Passatge d'Albert Pinyol","Ptge Albert Pinyol","",""
"006109","00061","C","Carrer dels Albigesos","Albigesos","",""
"006302","00063","C","Carrer d'Alcalá de Guadaira","Alcalá de Guadaira","",""
"006404","00064","Pl","Plaça de l'Alcalde Baró de Viver","Pl Alc Baró Viver","",""
"006506","00065","C","Carrer de l'Alcalde Miralles","Alcalde Miralles","",""
"006608","00066","C","Carrer de l'Alcalde de Móstoles","Alcalde Móstoles","",""
"006801","00069","C","Carrer de l'Alcalde de Zalamea","Alcalde de Zalamea","",""
"007000","00071","C","Carrer d'Alcamo","Alcamo","",""
"007101","00072","C","Carrer d'Alcanar","Alcanar","",""
"007203","00073","C","Carrer d'Alcántara","Alcántara","",""
"007258","00074","C","Carrer de Martí i Franquès","Martí i Franquès","",""
"007305","00075","Av","Avinguda de l'Exèrcit","Av Exèrcit","",""
"007407","00076","C","Carrer d'Alcolea","Alcolea","",""
"007509","00077","C","Carrer d'Alcoi","Alcoi","",""
"007600","00078","C","Carrer d'Alcúdia","Alcúdia","",""
"007702","00079","C","Carrer d'Aldana","Aldana","",""
"007804","00080","C","Carrer de l'Aldea","Aldea","",""
"007906","00081","C","Carrer de Ca l'Alegre de Dalt","Ca l'Alegre Dalt","",""
"008079","00082","C","Carrer de la Malva","Malva","",""
"008104","00083","C","Carrer d'Alexandre de Torrelles","A de Torrelles","",""
"008206","00084","C","Carrer d'Alella","Alella","",""
"008308","00085","C","Carrer de l'Alfambra","Alfambra","",""
"008400","00086","C","Carrer d'Alfarràs","Alfarràs","",""
"008501","00087","C","Carrer d'Alfons XII","Alfons XII","",""
"008603","00088","C","Carrer de Costa i Cuxart","Costa i Cuxart","",""
"008705","00089","C","Carrer d'Alfons el Magnànim","Alfons el Magnànim","",""
"008807","00090","Pl","Plaça d'Alfons el Savi","Pl Alfons el Savi","",""
"008909","00091","C","Carrer dels Algarves","Algarves","",""
"009005","00092","C","Carrer de l'Alguer","Alguer","",""
"009071","00093","Ptge","Passatge del Violer","Ptge Violer","",""
"009107","00094","C","Carrer d'Alhucemas","Alhucemas","",""
"009209","00095","C","Carrer d'Alí Bei","Alí Bei","",""
"009300","00096","Ptge","Passatge d'Alí Bei","Ptge Alí Bei","",""
"009402","00097","C","Carrer d'Alacant","Alacant","",""
"009457","00098","C","Carrer d'Alighieri","Alighieri","",""
"009606","00099","Ptge","Passatge d'Alió","Ptge Alió","",""
"009708","00100","C","Carrer dels Magatzems","Magatzems","",""
"009800","00103","C","Carrer d'Almagro","Almagro","",""
"009901","00104","C","Carrer d'Almansa","Almansa","",""
"010004","00105","Cro","Carreró de les Ànimes","Cro Ànimes","",""
"010106","00106","C","Carrer d'Almassora","Almassora","",""
"010208","00107","C","Carrer d'Almenara Alta","Almenara Alta","",""
"010300","00108","C","Carrer dels Ametllers","Ametllers","",""
"010401","00109","Ptge","Passatge dels Ametllers","Ptge Ametllers","",""
"010503","00110","C","Carrer d'Almeria","Almeria","",""
"010707","00111","C","Carrer de l'Almirall Aixada","Almirall Aixada","",""
"010809","00112","C","Carrer de l'Almirall Barceló","Almirall Barceló","",""
"010900","00113","C","Carrer de Pepe Rubianes","Pepe Rubianes","",""
"010955","00114","C","Carrer de l'Almirall Okendo","Almirall Okendo","",""
"011007","00115","C","Carrer de l'Almirall Pròixida","Almirall Pròixida","",""
"011109","00116","C","Carrer de l'Almirall Churruca","Almirall Churruca","",""
"011200","00117","C","Carrer dels Almogàvers","Almogàvers","",""
"011302","00118","C","Carrer d'Alonso Cano","Alonso Cano","",""
"011404","00119","Ptge","Passatge d'Aloi","Ptge Aloi","",""
"011506","00120","C","Carrer d'Alpens","Alpens","",""
"011583","00121","C","Carrer d'Alsàcia","Alsàcia","",""
"011608","00122","C","Carrer de n'Alsina","Alsina","",""
"011732","00124","Ptge","Passatge Alt del Turó","Ptge Alt del Turó","",""
"011776","00125","C","Carrer Alt","Alt","",""
"011801","00126","Pl","Plaça Alta de Can Clos","Pl Alta Can Clos","",""
"011903","00127","C","Carrer Alt de Gironella","Alt de Gironella","",""
"012000","00128","C","Carrer Alt de Mariner","Alt de Mariner","",""
"012101","00129","Ptge","Passatge Alt de Mariner","Ptge Alt Mariner","",""
"012203","00130","C","Carrer Alt de Pedrell","Alt de Pedrell","",""
"012305","00131","Ctra","Carretera Alta de les Roquetes","Ctra Alta Roquetes","",""
"012407","00132","C","Carrer de Sant Pere Més Alt","Sant Pere Més Alt","",""
"012509","00133","C","Carrer d'Altafulla","Altafulla","",""
"012600","00135","C","Carrer dels Alts Forns","Alts Forns","",""
"012702","00136","C","Carrer de l'Alumini","Alumini","",""
"012804","00137","C","Carrer d'Alvarado","Alvarado","",""
"012859","00138","Pg","Passeig de l'Agrícola","Pg Agrícola","",""
"012906","00139","C","Carrer d'Allada-Vermell","Allada-Vermell","",""
"013002","00140","C","Carrer d'Alloza","Alloza","",""
"013104","00141","C","Carrer d'Amadeu Vives","Amadeu Vives","",""
"013308","00142","C","Carrer de la Rosella","Rosella","",""
"013400","00143","C","Carrer de n'Amargós","Amargós","",""
"013501","00144","C","Carrer de l'Amargor","Amargor","",""
"013603","00145","C","Carrer d'Amer","Amer","",""
"013705","00146","C","Carrer d'Amèrica","Amèrica","",""
"013807","00147","Pl","Plaça d'Amich","Pl Amich","",""
"013909","00148","C","Carrer d'Amigó","Amigó","",""
"014005","00149","C","Carrer dels Amics","Amics","",""
"014107","00150","C","Carrer d'Amílcar","Amílcar","",""
"014209","00151","C","Carrer de l'Amistat","Amistat","",""
"014300","00152","C","Carrer de l'Amor","Amor","",""
"014402","00154","C","Carrer de Joan Obiols","Joan Obiols","",""
"014504","00155","C","Carrer d'Amposta","Amposta","",""
"014606","00156","C","Carrer de l'Empordà","Empordà","",""
"014708","00157","C","Carrer d'Empúries","Empúries","",""
"014800","00158","C","Carrer d'Anna Piferrer","Anna Piferrer","",""
"014821","00160","Pg","Passeig d'Anna Rúbies","Pg Anna Rúbies","",""
"014901","00162","Ptge","Passatge d'Andalet","Ptge Andalet","",""
"015008","00163","C","Carrer d'Andalusia","Andalusia","",""
"015052","00164","C","Carrer de l'Andana de l'Estació","Andana Estació","",""
"015100","00165","C","Carrer d'Andorra","Andorra","",""
"015201","00166","C","Carrer d'Andrade","Andrade","",""
"015303","00167","C","Carrer d'Andratx","Andratx","",""
"015405","00168","C","Carrer d'Andrea Doria","Andrea Doria","",""
"015507","00169","C","Carrer d'Andreu Febrer","Andreu Febrer","",""
"015700","00170","Ptge","Passatge d'Andreví","Ptge Andreví","",""
"015755","00171","C","Carrer d'Andròmeda","Andròmeda","",""
"015802","00172","C","Carrer d'Aneto","Aneto","",""
"015904","00173","C","Carrer de l'Àngel","Àngel","",""
"015959","00174","Pas","Pas de l'Àngel","Pas Àngel","",""
"016000","00175","Pl","Plaça de l'Àngel","Pl Àngel","",""
"016102","00176","C","Carrer d'Àngel J. Baixeras","Àngel J. Baixeras","",""
"016204","00177","C","Carrer d'Àngel Guimerà","Àngel Guimerà","",""
"016306","00178","C","Carrer d'Àngel Marquès","Àngel Marquès","",""
"016350","00179","Pl","Plaça d'Àngel Pestaña","Pl Àngel Pestaña","",""
"016408","00181","C","Carrer dels Àngels","Àngels","",""
"016500","00182","Camí","Camí dels Àngels","Camí Àngels","",""
"016601","00183","Pl","Plaça dels Àngels","Pl Àngels","",""
"016703","00184","C","Carrer d'Anglesola","Anglesola","",""
"016805","00185","Ptge","Passatge d'Anglesola","Ptge Anglesola","",""
"016907","00186","C","Carrer d'Anglí","Anglí","",""
"017105","00188","C","Carrer d'Anníbal","Anníbal","",""
"017309","00190","C","Carrer de l'Anisadeta","Anisadeta","",""
"017320","00191","C","Carrer d'Anselm Turmeda","Anselm Turmeda","",""
"017400","00192","C","Carrer d'Antequera","Antequera","",""
"017433","00193","C","Carrer Antic de Bofarull","Antic de Bofarull","",""
"017466","00194","Ctra","Carretera Antiga d'Horta","Ctra Antiga Horta","",""
"017502","00195","C","Carrer Antic de Sant Joan","Antic de Sant Joan","",""
"017557","00198","C","Carrer Antic del Guinardó","Antic del Guinardó","",""
"017568","00199","Ptge","Passatge Antic de València","Ptge Antic Valènci","",""
"017579","00200","Camí","Camí Antic de València","Camí Ant València","",""
"017604","00201","C","Carrer de les Antilles","Antilles","",""
"017706","00202","C","Carrer d'Antoni de Capmany","Antoni de Capmany","",""
"017808","00203","C","Carrer d'Antoni Costa","Antoni Costa","",""
"017900","00205","Ptge","Passatge d'Antoni Gassol","Ptge Antoni Gassol","",""
"018006","00206","Pl","Plaça d'Antonio López","Pl Antonio López","",""
"018200","00207","Pl","Plaça d'Antoni Maura","Pl Antoni Maura","",""
"018254","00208","C","Carrer d'Antonio Machado","Antonio Machado","",""
"018301","00209","C","Carrer de Francesc Bolòs","Francesc Bolòs","",""
"018403","00210","C","Carrer d'Antonio Ricardos","Antonio Ricardos","",""
"018505","00211","C","Carrer d'Aragó","Aragó","",""
"018607","00212","Ptge","Passatge d'Aragó","Ptge Aragó","",""
"018800","00214","C","Carrer de n'Arai","Arai","",""
"018902","00215","C","Carrer d'Arbeca","Arbeca","",""
"019100","00217","C","Carrer d'Arbós","Arbós","",""
"019202","00218","C","Carrer d'Arbúcies","Arbúcies","",""
"019257","00219","Ptge","Passatge d'Arcadia","Ptge Arcadia","",""
"019406","00220","C","Carrer de la Volta d'en Bufanalla","Volta Bufanalla","",""
"019508","00221","C","Carrer de la Volta d'en Colomines","Volta Colomines","",""
"019600","00222","C","Carrer de la Volta d'en Dusai","Volta d'en Dusai","",""
"019701","00223","C","Carrer de l'Arc de Sant Martí","Arc de Sant Martí","",""
"019803","00224","Ptge","Passatge de l'Arc de Sant Martí","Ptge Arc St Martí","",""
"019905","00225","C","Carrer de la Volta dels Jueus","Volta dels Jueus","",""
"020008","00226","C","Carrer de l'Arc del Mercat","Arc del Mercat","",""
"020100","00227","C","Carrer de la Volta de la Perdiu","Volta de la Perdiu","",""
"020201","00228","C","Carrer de la Volta del Remei","Volta del Remei","",""
"020303","00229","C","Carrer de l'Arc de Sant Agustí","Arc de Sant Agustí","",""
"020405","00230","C","Carrer de l'Arc de Sant Cristòfol","Arc Sant Cristòfol","",""
"020507","00231","C","Carrer de l'Arc de Sant Onofre","Arc de Sant Onofre","",""
"020609","00232","C","Carrer de l'Arc de Sant Pau","Arc de Sant Pau","",""
"020700","00233","C","Carrer de l'Arc de Sant Ramon del Call","Arc S Ramon Call","",""
"020802","00234","C","Carrer de l'Arc de Sant Sever","Arc de Sant Sever","",""
"020904","00235","C","Carrer de l'Arc de Sant Silvestre","Arc Sant Silvestre","",""
"021000","00236","C","Carrer de l'Arc de Sant Vicenç","Arc de Sant Vicenç","",""
"021102","00237","C","Carrer de l'Arc de Santa Eulàlia","Arc Santa Eulàlia","",""
"021204","00238","C","Carrer de la Volta dels Tamborets","Volta Tamborets","",""
"021306","00239","C","Carrer de l'Arc del Teatre","Arc del Teatre","",""
"021601","00242","C","Carrer dels Arcs","Arcs","",""
"021703","00243","C","Carrer d'Ardena","Ardena","",""
"021805","00244","C","Carrer d'Ardèvol","Ardèvol","",""
"021907","00245","C","Carrer de l'Esquirol Volador","Esquirol Volador","",""
"022207","00248","C","Carrer de les Arenes dels Canvis","Arenes dels Canvis","",""
"022309","00249","C","Carrer de les Arenes de Sant Pere","Arenes Sant Pere","",""
"022400","00250","C","Carrer d'Arenys","Arenys","",""
"022502","00251","Ptge","Passatge d'Arenys","Ptge Arenys","",""
"022604","00252","C","Carrer dels Argensola","Argensola","",""
"022615","00253","C","Carrer del Castell d'Argençola","Castell Argençola","",""
"022706","00254","C","Carrer de l'Argenter","Argenter","",""
"022808","00256","C","Carrer de l'Argentera","Argentera","",""
"022852","00257","Pg","Passeig de l'Argentinita","Pg Argentinita","",""
"022900","00258","C","Carrer d'Argentona","Argentona","",""
"023108","00260","C","Carrer d'Argimon","Argimon","",""
"023200","00261","C","Carrer d'Argullós","Argullós","",""
"023301","00262","Ptge","Passatge d'Argullós","Ptge Argullós","",""
"023403","00263","C","Carrer d'Aribau","Aribau","",""
"023505","00264","C","Carrer d'Arimon","Arimon","",""
"023607","00265","C","Carrer d'Ariosto","Ariosto","",""
"023709","00266","C","Carrer dels Arítjols","Arítjols","",""
"023800","00267","C","Carrer d'Arizala","Arizala","",""
"023902","00268","C","Carrer d'Arlet","Arlet","",""
"023980","00269","Pl","Plaça de l'Armada","Pl Armada","",""
"024009","00270","C","Carrer d'Armengol","Armengol","",""
"024100","00271","C","Carrer de l'Harmonia","Harmonia","",""
"024304","00272","C","Carrer d'Arnau d'Oms","Arnau d'Oms","",""
"024406","00273","C","Carrer d'Arnau","Arnau","",""
"024508","00274","C","Carrer d'Arnau Bargués","Arnau Bargués","",""
"024600","00275","C","Carrer d'Arnes","Arnes","",""
"024701","00276","C","Carrer d'Arnús i de Garí","Arnús i de Garí","",""
"024803","00277","C","Carrer de la Vall d'Aro","Vall d'Aro","",""
"024905","00278","C","Carrer de n'Aroles","Aroles","",""
"025001","00279","C","Carrer d'Arquímedes","Arquímedes","",""
"025103","00280","C","Carrer d'August Font","August Font","",""
"025205","00281","C","Carrer de l'Arquitecte Martorell","Arquit Martorell","",""
"025307","00282","C","Carrer de l'Arquitecte Mas","Arquitecte Mas","",""
"025409","00283","Ptge","Passatge de l'Arquitecte Millàs","Ptge Arq Millàs","",""
"025500","00284","C","Carrer de l'Arquitectura","Arquitectura","",""
"025602","00285","C","Carrer de l'Escull","Escull","",""
"025704","00286","C","Carrer de les Penedides","Penedides","",""
"025806","00287","Ptge","Passatge d'Arriassa","Ptge Arriassa","",""
"025908","00288","Pl","Plaça dels Traginers","Pl Traginers","",""
"026106","00289","C","Carrer d'Artà","Artà","",""
"026208","00290","C","Carrer de l'Art","Art","",""
"026300","00291","Ptge","Passatge d'Artemis","Ptge Artemis","",""
"026456","00292","C","Carrer d'Artés","Artés","",""
"026503","00293","C","Carrer d'Artesa de Segre","Artesa de Segre","",""
"026605","00294","C","Carrer de l'Artesania","Artesania","",""
"026707","00295","Pl","Plaça d'Artós","Pl Artós","",""
"026809","00296","C","Carrer d'Ascó","Ascó","",""
"026900","00297","C","Carrer dels Ases","Ases","",""
"027007","00299","C","Carrer dels Assaonadors","Assaonadors","",""
"027051","00300","Pl","Plaça de l'Assemblea de Catalunya","Pl Assemblea Catal","",""
"027109","00301","C","Carrer de la Drassana","Drassana","",""
"027302","00303","C","Carrer d'Astúries","Astúries","",""
"027357","00304","Ptge","Passatge de la Talaia","Ptge Talaia","",""
"027404","00305","Drec","Drecera de Vallvidrera","Drec Vallvidrera","",""
"027506","00307","C","Carrer d'Ataülf","Ataülf","",""
"027608","00308","C","Carrer d'Atenes","Atenes","",""
"027700","00309","C","Carrer de l'Atlàntida","Atlàntida","",""
"027754","00310","Ptge","Passatge de l'Àtom","Ptge Àtom","",""
"027801","00311","C","Carrer dels Ocells","Ocells","",""
"027903","00312","C","Carrer d'Auger","Auger","",""
"028000","00313","Via","Via Augusta","Via Augusta","",""
"028101","00314","C","Carrer d'Aulèstia i Pijoan","Aulèstia i Pijoan","",""
"028203","00315","C","Carrer de l'Aurora","Aurora","",""
"028305","00316","C","Carrer d'Ausiàs Marc","Ausiàs Marc","",""
"028407","00317","C","Carrer d'Ausona","Ausona","",""
"028509","00318","C","Carrer de l'Ave Maria","Ave Maria","",""
"028600","00319","C","Carrer dels Avellà","Avellà","",""
"028702","00321","C","Carrer de l'Aviació","Aviació","",""
"028804","00322","C","Carrer de l'Aviador Durán","Aviador Durán","",""
"028906","00323","C","Carrer del Mecànic Pablo Rada","Mecànic Pablo Rada","",""
"029002","00324","C","Carrer de l'Aviador Ruiz de Alda","Aviador Ruiz Alda","",""
"029104","00325","C","Carrer de Jiménez i Iglesias","Jiménez i Iglesias","",""
"029206","00326","C","Carrer d'Àvila","Àvila","",""
"029308","00327","C","Carrer d'Avinyonet","Avinyonet","",""
"029400","00328","C","Carrer d'Avinyó","Avinyó","",""
"029501","00329","C","Carrer de l'Avió Plus Ultra","Avió Plus Ultra","",""
"029603","00330","Ptge","Passatge d'Aymà","Ptge Aymà","",""
"029705","00332","C","Carrer de l'Ajuntament","Ajuntament","",""
"029807","00334","C","Carrer de les Açores","Açores","",""
"029953","00336","Pl","Plaça d'Otero Pedrayo","Pl Otero Pedrayo","",""
"030089","00337","C","Carrer B Zona Franca","B Zona Franca","",""
"030103","00338","C","Carrer de Bacardí","Bacardí","",""
"030205","00339","Ptge","Passatge de Bacardí","Ptge Bacardí","",""
"030307","00340","Pl","Plaça de Bacardí","Pl Bacardí","",""
"030409","00341","C","Carrer de Bac de Roda","Bac de Roda","",""
"030500","00342","C","Carrer de Badajoz","Badajoz","",""
"030602","00343","Rbla","Rambla de Badal","Rbla Badal","",""
"030704","00344","Ptge","Passatge de Badal","Ptge Badal","",""
"030806","00345","C","Carrer de Badalona","Badalona","",""
"030908","00346","C","Carrer de Badia","Badia","",""
"031004","00347","C","Carrer de Badosa","Badosa","",""
"031208","00349","C","Carrer de Begur","Begur","",""
"031300","00350","C","Carrer de Bailèn","Bailèn","",""
"031401","00351","Ptge","Passatge Baix del Turó","Ptge Baix del Turó","",""
"031605","00354","C","Carrer Baix de Mariner","Baix de Mariner","",""
"031707","00355","C","Carrer de Sant Pere Més Baix","Sant Pere Més Baix","",""
"031900","00359","C","Carrer de Balboa","Balboa","",""
"032007","00360","C","Carrer de Balcells","Balcells","",""
"032051","00361","C","Carrer de Baldiri Reixac","Baldiri Reixac","",""
"032109","00362","C","Carrer de Baldomer Girona","Baldomer Girona","",""
"032200","00363","C","Carrer de les Balears","Balears","",""
"032302","00364","C","Carrer de Balenyà","Balenyà","",""
"032404","00365","C","Carrer de Baliarda","Baliarda","",""
"032506","00366","Ptge","Passatge de Baliarda","Ptge Baliarda","",""
"032608","00367","C","Carrer de Balira","Balira","",""
"032700","00368","C","Carrer de Balmes","Balmes","",""
"032903","00370","C","Carrer del Voló","Voló","",""
"033000","00371","C","Carrer de Balsareny","Balsareny","",""
"033101","00372","C","Carrer de les Basses de Sant Pere","Basses Sant Pere","",""
"033203","00373","C","Carrer de Baltasar Gracián","Baltasar Gracián","",""
"033258","00374","C","Carrer de Baltasar Samper","Baltasar Samper","",""
"033305","00375","C","Carrer del Baluard","Baluard","",""
"033350","00376","C","Carrer de Ballot","Ballot","",""
"033509","00377","C","Carrer de Ballester","Ballester","",""
"033702","00378","Ptge","Passatge de la Banca","Ptge Banca","",""
"033804","00379","C","Carrer de Banyoles","Banyoles","",""
"034002","00381","C","Carrer dels Banys Nous","Banys Nous","",""
"034104","00382","C","Carrer dels Banys Vells","Banys Vells","",""
"034308","00384","C","Carrer la Rambla","Rambla","",""
"034400","00385","Via","Via de Bàrcino","Via Bàrcino","",""
"034603","00387","C","Carrer de Barnola","Barnola","",""
"034807","00389","C","Carrer del Baró de la Barre","Baró de la Barre","",""
"035005","00390","C","Carrer del Baró d'Esponellà","Baró d'Esponellà","",""
"035107","00391","Ptge","Passatge del Baró de Griñó","Ptge Baró de Griñó","",""
"035209","00392","C","Carrer del Baró de Sant Lluís","Baró de Sant Lluís","",""
"035253","00393","Gru","Grup Baron de Viver","Gru Baron de Viver","",""
"035300","00394","C","Carrer de la Barra de Ferro","Barra de Ferro","",""
"035606","00395","C","Carrer del Barri Vermell","Barri Vermell","",""
"035741","00397","Bar","Barriada Pekin","Bar Pekin","",""
"035800","00398","C","Carrer de Bartrina","Bartrina","",""
"035901","00399","C","Carrer de Basea","Basea","",""
"036100","00402","C","Carrer de Bassegoda","Bassegoda","",""
"036201","00403","C","Carrer de Bassols","Bassols","",""
"036405","00404","C","Carrer de Batet","Batet","",""
"036507","00405","C","Carrer de Batista","Batista","",""
"036609","00406","Ptge","Passatge de Batlló","Ptge Batlló","",""
"036700","00407","C","Carrer de Batllori","Batllori","",""
"036755","00409","C","Carrer de la Colònia Bausili","Colònia Bausili","",""
"036802","00410","C","Carrer de les Beates","Beates","",""
"036904","00411","Pl","Plaça de les Beates","Pl Beates","",""
"037000","00412","C","Carrer del Beat Almató","Beat Almató","",""
"037102","00413","C","Carrer del Pare Miquel de Sarrià","Pare Miquel Sarrià","",""
"037204","00414","C","Carrer del Beat Simó","Beat Simó","",""
"037306","00415","C","Carrer de Beatriu","Beatriu","",""
"037350","00416","Av","Avinguda de J. V. Foix","Av J. V. Foix","",""
"037408","00417","C","Carrer de Beethoven","Beethoven","",""
"037500","00418","C","Carrer de la Begònia","Begònia","",""
"037601","00419","C","Carrer de Béjar","Béjar","",""
"037703","00420","C","Carrer de Betlem","Betlem","",""
"037907","00422","C","Carrer de Bellafila","Bellafila","",""
"037951","00423","Pl","Plaça de Bellavista","Pl Bellavista","",""
"037973","00424","Ptge","Passatge de Bellavista","Ptge Bellavista","",""
"037984","00425","Camí","Camí de Bellavista","Camí Bellavista","",""
"038003","00426","C","Carrer de Bellcaire","Bellcaire","",""
"038105","00427","C","Carrer de Bellesguard","Bellesguard","",""
"038309","00429","C","Carrer de Bellmunt","Bellmunt","",""
"038400","00430","C","Carrer de Bellprat","Bellprat","",""
"038502","00431","C","Carrer de Bellver","Bellver","",""
"038604","00432","C","Carrer de Benavent","Benavent","",""
"038706","00433","C","Carrer de Benedetti","Benedetti","",""
"038808","00434","Pl","Plaça de Benet XV","Pl Benet XV","",""
"038900","00435","C","Carrer de Benet Mateu","Benet Mateu","",""
"039006","00436","C","Carrer de Benevent","Benevent","",""
"039108","00437","C","Carrer de Benet Mercadé","Benet Mercadé","",""
"039301","00438","C","Carrer de Benlliure","Benlliure","",""
"039505","00440","Pl","Plaça de Ramon Berenguer el Gran","Pl Berenguer Gran","",""
"039607","00441","C","Carrer de Berenguer Mallol","Berenguer Mallol","",""
"039709","00442","C","Carrer de Berenguer de Palou","Berenguer de Palou","",""
"039800","00443","C","Carrer de Ramon Berenguer el Vell","R Berenguer Vell","",""
"039902","00444","C","Carrer de Beret","Beret","",""
"040005","00445","C","Carrer de Berga","Berga","",""
"040107","00446","C","Carrer de Berguedà","Berguedà","",""
"040209","00447","C","Carrer de Bergnes de las Casas","Bergnes Casas","",""
"040300","00448","C","Carrer de Berlín","Berlín","",""
"040402","00449","C","Carrer del Berlinès","Berlinès","",""
"040504","00450","C","Carrer de Bermejo","Bermejo","",""
"040606","00451","C","Carrer de Berna","Berna","",""
"040708","00452","Ptge","Passatge de Bernardí Martorell","Ptge B Martorell","",""
"040800","00453","C","Carrer de Bernat Bransi","Bernat Bransi","",""
"040901","00454","C","Carrer de Bernat Martorell","Bernat Martorell","",""
"041008","00455","C","Carrer de Bernat Desclot","Bernat Desclot","",""
"041052","00456","Ptge","Passatge de Bernat Fenollar","Ptge B Fenollar","",""
"041100","00457","C","Carrer de Bernat Metge","Bernat Metge","",""
"041201","00458","C","Carrer de Berruguete","Berruguete","",""
"041303","00459","C","Carrer de Bertran","Bertran","",""
"041405","00460","C","Carrer de Bertrand i Serra","Bertrand i Serra","",""
"041507","00461","C","Carrer de Besalú","Besalú","",""
"041700","00463","C","Carrer del Besòs","Besòs","",""
"041802","00464","C","Carrer de Betània","Betània","",""
"041904","00465","C","Carrer de Béthencourt","Béthencourt","",""
"042000","00466","C","Carrer de Besiers","Besiers","",""
"042204","00467","C","Carrer de Bigai","Bigai","",""
"042259","00468","Ptge","Passatge de Bigai","Ptge Bigai","",""
"042306","00469","C","Carrer de Bilbao","Bilbao","",""
"042408","00470","C","Carrer de Biosca","Biosca","",""
"042500","00471","C","Carrer de la Bisbal","Bisbal","",""
"042601","00472","C","Carrer de Bismarck","Bismarck","",""
"042703","00473","Ptge","Passatge de Bismarck","Ptge Bismarck","",""
"042758","00474","Ptge","Passatge de la Blada","Ptge Blada","",""
"042805","00475","Rier","Riera Blanca Sarrià","Rier Blanca Sarrià","",""
"043003","00477","C","Carrer d'en Blanco","Blanco","",""
"043058","00478","Bda","Baixada de Blanes","Bda Blanes","",""
"043105","00479","C","Carrer de la Blanqueria","Blanqueria","",""
"043207","00480","C","Carrer de Blasco de Garay","Blasco de Garay","",""
"043309","00481","Pl","Plaça del Sortidor","Pl Sortidor","",""
"043400","00482","C","Carrer de Blai","Blai","",""
