"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"1015170605","Centre d'Atenció Primària Sardenya","#","C","Sardenya","466","466","33","el Baix Guinardó","07","Horta-Guinardó","08025","019","BARCELONA","41.409468","2.165567","430258.706","4584549.468","430350.636","4584750.426","935674380","Tel.","","01/01","31/12","0000011","08:00:00","20:00:00"," ",
"1015170605","Centre d'Atenció Primària Sardenya","#","C","Sardenya","466","466","33","el Baix Guinardó","07","Horta-Guinardó","08025","019","BARCELONA","41.409468","2.165567","430258.706","4584549.468","430350.636","4584750.426","935674380","Tel.","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"1211130747","Centre d'Atenció Primària Besòs","#","C","Alfons el Magnànim","57","57","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.415398","2.215456","434434.343","4585168.815","434526.311","4585369.78","932788235","Urgències","","01/01","31/12","0000011","08:00:00","20:00:00","Fora d'aquest horari truqueu al 061<br>o CUAP Sant Martí",
"1211130747","Centre d'Atenció Primària Besòs","#","C","Alfons el Magnànim","57","57","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.415398","2.215456","434434.343","4585168.815","434526.311","4585369.78","932788235","Urgències","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"1211130747","Centre d'Atenció Primària Besòs","#","C","Alfons el Magnànim","57","57","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.415398","2.215456","434434.343","4585168.815","434526.311","4585369.78","932782585","Fax","","01/01","31/12","0000011","08:00:00","20:00:00","Fora d'aquest horari truqueu al 061<br>o CUAP Sant Martí",
"1211130747","Centre d'Atenció Primària Besòs","#","C","Alfons el Magnànim","57","57","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.415398","2.215456","434434.343","4585168.815","434526.311","4585369.78","932782585","Fax","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"1211130747","Centre d'Atenció Primària Besòs","#","C","Alfons el Magnànim","57","57","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.415398","2.215456","434434.343","4585168.815","434526.311","4585369.78","932788235","Centraleta","","01/01","31/12","0000011","08:00:00","20:00:00","Fora d'aquest horari truqueu al 061<br>o CUAP Sant Martí",
"1211130747","Centre d'Atenció Primària Besòs","#","C","Alfons el Magnànim","57","57","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.415398","2.215456","434434.343","4585168.815","434526.311","4585369.78","932788235","Centraleta","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"1354152528","Hospital del Mar","Servei d'Urgències Psiquiàtriques","Pg","Marítim de la Barceloneta","23","31","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.383433","2.194692","432666.062","4581636.036","432758.015","4581836.967","932483435","Tel.","","","","","","","",
"1354152528","Hospital del Mar","Servei d'Urgències Psiquiàtriques","Pg","Marítim de la Barceloneta","23","31","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.383433","2.194692","432666.062","4581636.036","432758.015","4581836.967","932483433","Tel.","","","","","","","",
"2067120930","Centre d'Atenció Primària Les Hortes","#","C","Nou de la Rambla","169","169","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.37165","2.166823","430323.269","4580349.919","430415.201","4580550.838","933249101","Fax","","01/01","31/12","0000011","08:00:00","20:00:00"," ",
"2067120930","Centre d'Atenció Primària Les Hortes","#","C","Nou de la Rambla","169","169","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.37165","2.166823","430323.269","4580349.919","430415.201","4580550.838","933249101","Fax","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"2067120930","Centre d'Atenció Primària Les Hortes","#","C","Nou de la Rambla","169","169","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.37165","2.166823","430323.269","4580349.919","430415.201","4580550.838","933249100","Tel.","","01/01","31/12","0000011","08:00:00","20:00:00"," ",
"2067120930","Centre d'Atenció Primària Les Hortes","#","C","Nou de la Rambla","169","169","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.37165","2.166823","430323.269","4580349.919","430415.201","4580550.838","933249100","Tel.","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"75990027608","Hospital Universitari Quirón Dexeus","#","C","Sabino Arana","5","19","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.384363","2.126177","426938.383","4581794.776","427030.283","4581995.707","932274747","Centraleta","","","","","","","",
"75990029810","Clínica Corachan","#","C","Buïgas","19","19","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.393522","2.130756","427331.391","4582807.781","427423.295","4583008.722","932801455","Fax","","","","","","","",
"75990029810","Clínica Corachan","#","C","Buïgas","19","19","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.393522","2.130756","427331.391","4582807.781","427423.295","4583008.722","932545800","Centraleta","","","","","","","",
"75990029810","Clínica Corachan","#","C","Buïgas","19","19","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.393522","2.130756","427331.391","4582807.781","427423.295","4583008.722","932545807","Tel.","Urgències","","","","","","",
"75990043224","Hospital de Nens de Barcelona","#","C","Consell de Cent","437","437","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.39739","2.173892","430941.739","4583201.868","431033.676","4583402.813","932655017","Fax","","","","","","","",
"75990043224","Hospital de Nens de Barcelona","#","C","Consell de Cent","437","437","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.39739","2.173892","430941.739","4583201.868","431033.676","4583402.813","932310512","Tel.","","","","","","","",
"75990043224","Hospital de Nens de Barcelona","#","C","Consell de Cent","437","437","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.39739","2.173892","430941.739","4583201.868","431033.676","4583402.813","932455695","Fax","","","","","","","",
"75990049258","Clínica Mi Tres Torres","#","C","Doctor Roux","76","76","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.399249","2.128868","427180.003","4583445.077","427271.905","4583646.023","932806488","Fax","","","","","","","",
"75990049258","Clínica Mi Tres Torres","#","C","Doctor Roux","76","76","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.399249","2.128868","427180.003","4583445.077","427271.905","4583646.023","932041300","Tel.","","","","","","","",
"75990051869","Institut Català de Retina - Sarrià","#","C","Ganduxer","117","117","24","les Tres Torres","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.401751","2.132211","427462.193","4583720.043","427554.098","4583920.992","934187227","Urgències","","","","","","","",
"75990051869","Institut Català de Retina - Sarrià","#","C","Ganduxer","117","117","24","les Tres Torres","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.401751","2.132211","427462.193","4583720.043","427554.098","4583920.992","932547922","Atenció al client","","","","","","","",
"75990051869","Institut Català de Retina - Sarrià","#","C","Ganduxer","117","117","24","les Tres Torres","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.401751","2.132211","427462.193","4583720.043","427554.098","4583920.992","932547922","Cita prèvia","","","","","","","",
"75990051869","Institut Català de Retina - Sarrià","#","C","Ganduxer","117","117","24","les Tres Torres","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.401751","2.132211","427462.193","4583720.043","427554.098","4583920.992","934187857","Fax","","","","","","","",
"75990052917","Clínica Sant Jordi","#","Pl","Estació","12","12","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.436758","2.193086","432586.956","4587557.371","432678.907","4587758.357","935047200","Tel.","Programació","","","","","","",
"75990052917","Clínica Sant Jordi","#","Pl","Estació","12","12","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.436758","2.193086","432586.956","4587557.371","432678.907","4587758.357","935047100","Centraleta","","","","","","","",
"75990058292","Clínica Serveis Clinics S.A.U","#","C","García-Mariño","4","4","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.41251","2.136103","427799.428","4584911.303","427891.335","4585112.263","934174601","Tel.","","","","","","","",
"75990058292","Clínica Serveis Clinics S.A.U","#","C","García-Mariño","4","4","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.41251","2.136103","427799.428","4584911.303","427891.335","4585112.263","934189172","Fax","","","","","","","",
"75990058292","Clínica Serveis Clinics S.A.U","#","C","García-Mariño","4","4","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.41251","2.136103","427799.428","4584911.303","427891.335","4585112.263","934174602","Tel.","","","","","","","",
"75990060288","Hospital de Barcelona","#","Av","Diagonal","660","660","19","les Corts","04","Les Corts","08034","019","BARCELONA","41.389891","2.129581","427229.183","4582405.641","427321.086","4582606.578","932542400","Tel.","","","","","","","",
"75990066742","Hospital Delfos","#","Av","Vallcarca","151","161","28","Vallcarca i els Penitents","06","Gràcia","08023","019","BARCELONA","41.414037","2.142642","428347.676","4585075.408","428439.588","4585276.37","932545170","Urgències","","","","","","","",
"75990066742","Hospital Delfos","#","Av","Vallcarca","151","161","28","Vallcarca i els Penitents","06","Gràcia","08023","019","BARCELONA","41.414037","2.142642","428347.676","4585075.408","428439.588","4585276.37","932545000","Tel.","","","","","","","",
"75990098805","Clínica Planas","#","C","Pere II de Montcada","16","18","23","Sarrià","05","Sarrià-Sant Gervasi","08034","019","BARCELONA","41.399338","2.115652","426075.324","4583466.231","426167.216","4583667.177","932032812","Tel.","","","","","","","",
"75990099869","CBC Clínica Barceloneta","#","C","Pescadors","88","88","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.375937","2.189997","432265.738","4580807.448","432357.688","4581008.372","932214704","Tel.","","","","","","","",
"75990127413","Residència Sociosanitaria Assistida Psicoclínica Mare de Déu de la Mercè","#","Pg","Universal","34","34","43","Horta","07","Horta-Guinardó","08042","019","BARCELONA","41.437876","2.161999","429990.988","4587706.157","430082.915","4587907.144","934275250","Tel.","","","","","","","",
"75990130956","Hospital Sant Rafael","#","Pg","Vall d'Hebron","107","117","40","Montbau","07","Horta-Guinardó","08035","019","BARCELONA","41.425727","2.14239","428339.446","4586373.46","428431.358","4586574.434","934188448","Fax","","","","","","","",
"75990130956","Hospital Sant Rafael","#","Pg","Vall d'Hebron","107","117","40","Montbau","07","Horta-Guinardó","08035","019","BARCELONA","41.425727","2.14239","428339.446","4586373.46","428431.358","4586574.434","932112508","Centraleta","","","","","","","",
"75990132981","Clínica Centro Médico Aragón","#","C","Viladomat","158","158","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.382842","2.153373","429210.666","4581603.359","429302.587","4581804.289","934529930","Tel.","","","","","","","",
"75990174967","Clínica Coroleu","#","C","Coroleu","44","50","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.433002","2.18701","432075.414","4587145.09","432167.36","4587346.072","931165191","Tel.","","","","","","","",
"75990174967","Clínica Coroleu","#","C","Coroleu","44","50","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.433002","2.18701","432075.414","4587145.09","432167.36","4587346.072","931165194","Fax","","","","","","","",
"75990212123","Clínica Sagrada Família","#","C","Torras i Pujalt","1","1","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.400701","2.134805","427677.917","4583601.377","427769.824","4583802.325","936029456","Tel.","Urgències","","","","","","",
"75990212123","Clínica Sagrada Família","#","C","Torras i Pujalt","1","1","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.400701","2.134805","427677.917","4583601.377","427769.824","4583802.325","932122300","Tel.","","","","","","","",
"75990218335","Fundació Privada en Salut Mental CPB. Doctor Fàbregas","Hospital de Dia","C","Mare de Déu del Coll","20","20","30","la Salut","06","Gràcia","08023","019","BARCELONA","41.408839","2.14986","428945.249","4584492.42","429037.167","4584693.377","934189193","Tel.","","01/01","31/12","0000111","09:00:00","17:00:00"," ",
"75990218335","Fundació Privada en Salut Mental CPB. Doctor Fàbregas","Hospital de Dia","C","Mare de Déu del Coll","20","20","30","la Salut","06","Gràcia","08023","019","BARCELONA","41.408839","2.14986","428945.249","4584492.42","429037.167","4584693.377","934189193","Tel.","","01/01","31/12","1111011","09:00:00","14:00:00"," ",
"75990218335","Fundació Privada en Salut Mental CPB. Doctor Fàbregas","Hospital de Dia","C","Mare de Déu del Coll","20","20","30","la Salut","06","Gràcia","08023","019","BARCELONA","41.408839","2.14986","428945.249","4584492.42","429037.167","4584693.377","934187750","Fax","","01/01","31/12","0000111","09:00:00","17:00:00"," ",
"75990218335","Fundació Privada en Salut Mental CPB. Doctor Fàbregas","Hospital de Dia","C","Mare de Déu del Coll","20","20","30","la Salut","06","Gràcia","08023","019","BARCELONA","41.408839","2.14986","428945.249","4584492.42","429037.167","4584693.377","934187750","Fax","","01/01","31/12","1111011","09:00:00","14:00:00"," ",
"75990218352","Centre Hospitalari Copèrnic","#","C","Copèrnic","58","58","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.401136","2.141224","428214.959","4583644.281","428306.871","4583845.23","900300144","Tel.","Urgències MC Mutual","","","","","","",
"75990218352","Centre Hospitalari Copèrnic","#","C","Copèrnic","58","58","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.401136","2.141224","428214.959","4583644.281","428306.871","4583845.23","932000694","Fax","","","","","","","",
"75990218352","Centre Hospitalari Copèrnic","#","C","Copèrnic","58","58","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.401136","2.141224","428214.959","4583644.281","428306.871","4583845.23","934141751","Urgències","","","","","","","",
"75990218352","Centre Hospitalari Copèrnic","#","C","Copèrnic","58","58","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.401136","2.141224","428214.959","4583644.281","428306.871","4583845.23","934141992","Centraleta","","","","","","","",
"75990220296","Clínica Nostra Senyora del Remei","#","C","Escorial","148","148","32","el Camp d'en Grassot i Gràcia Nova","06","Gràcia","08024","019","BARCELONA","41.409505","2.159737","429771.444","4584558.296","429863.37","4584759.254","932850010","Centraleta","","","","","","","",
"75990220296","Clínica Nostra Senyora del Remei","#","C","Escorial","148","148","32","el Camp d'en Grassot i Gràcia Nova","06","Gràcia","08024","019","BARCELONA","41.409505","2.159737","429771.444","4584558.296","429863.37","4584759.254","932840008","Fax","","","","","","","",
"75990265000","Policlínica Barcelona","#","C","Guillem Tell","4","4","27","el Putxet i el Farró","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.403301","2.149628","428919.771","4583877.738","429011.689","4584078.689","932184448","Fax","","","","","","","",
"75990265000","Policlínica Barcelona","#","C","Guillem Tell","4","4","27","el Putxet i el Farró","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.403301","2.149628","428919.771","4583877.738","429011.689","4584078.689","934161616","Tel.","","","","","","","",
"75990274567","Centro Médico Teknon","#","C","Vilana","12","12","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.405484","2.128389","427146.915","4584137.739","427238.817","4584338.692","932112690","Fax","","","","","","","",
"75990274567","Centro Médico Teknon","#","C","Vilana","12","12","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.405484","2.128389","427146.915","4584137.739","427238.817","4584338.692","932906200","Centraleta","","","","","","","",
"75990353777","Nou Hospital Evangèlic","#","C","Camèlies","15","17","30","la Salut","06","Gràcia","08024","019","BARCELONA","41.411103","2.158927","429705.459","4584736.295","429797.384","4584937.254","932859955","Informació","i petició d'hora","","","","","","",
"75990364469","Hospital Plató","#","C","Plató","21","21","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.4013","2.142436","428316.422","4583661.463","428408.335","4583862.412","933069900","Centraleta","","","","","","","",
"75990421973","Hospital Quirónsalud Barcelona","#","Pl","Alfonso Comín","5","7","28","Vallcarca i els Penitents","06","Gràcia","08023","019","BARCELONA","41.414763","2.138586","428009.448","4585159.391","428101.357","4585360.354","932554000","Cita prèvia","","","","","","","",
"75990421973","Hospital Quirónsalud Barcelona","#","Pl","Alfonso Comín","5","7","28","Vallcarca i els Penitents","06","Gràcia","08023","019","BARCELONA","41.414763","2.138586","428009.448","4585159.391","428101.357","4585360.354","932381600","Centraleta","","","","","","","",
"75990603216","Clínica Bonanova de Cirurgia Ocular","#","Pg","Bonanova","22","22","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.405353","2.130899","427356.558","4584121.105","427448.462","4584322.058","934342770","Tel.","Proves i tractaments (C. Mandri)","","","","","","",
"75990603216","Clínica Bonanova de Cirurgia Ocular","#","C","Mandri","63","63","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.404682","2.132108","427456.846","4584045.524","427548.75","4584246.476","934340925","Tel.","Àrea quirúrgica (Pg Bonanova)","","","","","","",
"75990603216","Clínica Bonanova de Cirurgia Ocular","#","C","Mandri","63","63","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.404682","2.132108","427456.846","4584045.524","427548.75","4584246.476","934342770","Tel.","Proves i tractaments (C. Mandri)","","","","","","",
"75990603216","Clínica Bonanova de Cirurgia Ocular","#","Pg","Bonanova","22","22","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.405353","2.130899","427356.558","4584121.105","427448.462","4584322.058","934340925","Tel.","Àrea quirúrgica (Pg Bonanova)","","","","","","",
"75990626730","Clínica Institut Marquès","#","Av","Diagonal","662","664","19","les Corts","04","Les Corts","08034","019","BARCELONA","41.38932","2.128842","427166.722","4582342.898","427258.624","4582543.834","932858216","Tel.","","","","","","","",
"75990626730","Clínica Institut Marquès","#","Av","Diagonal","662","664","19","les Corts","04","Les Corts","08034","019","BARCELONA","41.38932","2.128842","427166.722","4582342.898","427258.624","4582543.834","932059155","Fax","","","","","","","",
"75990683269","Clínica Creu Blanca","#","Pg","Reina Elisenda de Montcada","17","17","23","Sarrià","05","Sarrià-Sant Gervasi","08034","019","BARCELONA","41.398049","2.118003","426270.388","4583321.051","426362.282","4583521.996","902202230","Urgències","","","","","","","",
"75990683269","Clínica Creu Blanca","#","Pg","Reina Elisenda de Montcada","17","17","23","Sarrià","05","Sarrià-Sant Gervasi","08034","019","BARCELONA","41.398049","2.118003","426270.388","4583321.051","426362.282","4583521.996","932522522","Centraleta","","","","","","","",
"75990694006","Medicina Estètica Balmes","#","C","Balmes","89","89","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.391325","2.159845","429760.9","4582539.858","429852.826","4582740.797","933232520","Tel.","","01/01","31/12","0000011","09:00:00","21:00:00"," ",
"75990694006","Medicina Estètica Balmes","#","C","Balmes","89","89","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.391325","2.159845","429760.9","4582539.858","429852.826","4582740.797","933232520","Tel.","","01/01","31/12","1111101","09:00:00","13:00:00"," ",
"92086000253","Centre d'Atenció Primària Manso","#","C","Manso","19","19","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376475","2.160129","429768.713","4580891.025","429860.64","4581091.949","933268901","Tel.","Programació de visites","01/01","31/12","1111111","08:00:00","20:00:00","Atenció primària",
"92086000253","Centre d'Atenció Primària Manso","#","C","Manso","19","19","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376475","2.160129","429768.713","4580891.025","429860.64","4581091.949","933268901","Tel.","Programació de visites","01/01","31/12","0000000","00:00:00","23:59:00","Urgències d'atenció<br>primària",
"92086000253","Centre d'Atenció Primària Manso","#","C","Manso","19","19","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376475","2.160129","429768.713","4580891.025","429860.64","4581091.949","934263200","Fax","","01/01","31/12","1111111","08:00:00","20:00:00","Atenció primària",
"92086000253","Centre d'Atenció Primària Manso","#","C","Manso","19","19","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376475","2.160129","429768.713","4580891.025","429860.64","4581091.949","934263200","Fax","","01/01","31/12","0000000","00:00:00","23:59:00","Urgències d'atenció<br>primària",
"92086000253","Centre d'Atenció Primària Manso","#","C","Manso","19","19","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376475","2.160129","429768.713","4580891.025","429860.64","4581091.949","935517283","Centraleta","","01/01","31/12","1111111","08:00:00","20:00:00","Atenció primària",
"92086000253","Centre d'Atenció Primària Manso","#","C","Manso","19","19","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376475","2.160129","429768.713","4580891.025","429860.64","4581091.949","935517283","Centraleta","","01/01","31/12","0000000","00:00:00","23:59:00","Urgències d'atenció<br>primària",
"92086001558","Centre d'Atenció Primària Passeig Sant Joan","#","Pg","Sant Joan","20","20","05","el Fort Pienc","02","Eixample","08010","019","BARCELONA","41.392679","2.178971","431361.322","4582674.815","431453.263","4582875.756","932450167","Fax","","01/01","31/12","0000011","09:00:00","20:00:00","Dissabtes de 9 a 17h, atenció<br> al CAP Casc Antic.<br>Fora d'aquest horari truqueu al 061<br>o CUAP Dos de Maig.",
